studiengang,hochschule,modul_id,modulname,satz_nr,satz,typ,taxonomie,konfidenz,split
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1227,Basic Principles of Engineering,5,"Die Studierenden sind in der Lage, technische Zeichnungen zu lesen.",K,2,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1123,Grundlagen des wissenschaftlichen Arbeitens,1,Die Studierenden können ihre eigenen fachlichen und sozialen Ressourcen einschätzen.,K,5,0.80,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1123,Grundlagen des wissenschaftlichen Arbeitens,2,Die Studierenden kennen die Methoden des wissenschaftlichen Arbeitens und können diese anwenden.,K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1123,Grundlagen des wissenschaftlichen Arbeitens,3,"Die Studierenden kennen die fachrelevanten Literaturdatenbanken und sind in der Lage, Literaturrecherchen selbständig zu bewältigen und zu präsentieren.",K,3,0.80,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1123,Grundlagen des wissenschaftlichen Arbeitens,4,Die Studierenden verfügen über Handlungs- und Problemlösungskompetenz.,K,3,0.50,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1123,Grundlagen des wissenschaftlichen Arbeitens,5,Die Studierenden können Fachtexte in englischer Sprache verstehen und präsentieren.,K,2,0.70,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1123,Grundlagen des wissenschaftlichen Arbeitens,6,Die Studierenden erwerben Kenntnisse über die Grundlagen des sicheren Arbeitens insbesondere in Laboratorien.,K,1,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1228,Principles of Scientific Research,1,Die Studierenden können ihre eigenen fachlichen und sozialen Ressourcen einschätzen.,K,5,0.80,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1228,Principles of Scientific Research,2,Die Studierenden kennen die Methoden des wissenschaftlichen Arbeitens und können diese anwenden.,K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1228,Principles of Scientific Research,3,"Die Studierenden kennen die fachrelevanten Literaturdatenbanken und sind in der Lage, Literaturrecherchen selbständig zu bewältigen und zu präsentieren.",K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1228,Principles of Scientific Research,4,Die Studierenden verfügen über Handlungs- und Problemlösungskompetenz.,K,3,0.40,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1228,Principles of Scientific Research,5,Die Studierenden können Fachtexte in englischer Sprache verstehen und präsentieren.,K,2,0.70,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1228,Principles of Scientific Research,6,Die Studierenden erwerben Kenntnisse über die Grundlagen des sicheren Arbeitens insbesondere in Laboratorien.,K,1,0.70,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1190,Grundlagen des Managements,1,Die Studierenden beherrschen zentrale Grundlagen des Managementhandelns in Unternehmen und kennen das unternehmerische Zielsystem.,K,1,0.80,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1190,Grundlagen des Managements,2,Die Studierenden verstehen verschiedene Aufgaben des operativen und strategischen Managements und können diese zueinander in Beziehung setzen.,K,4,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1190,Grundlagen des Managements,3,Die Studierenden können wichtige Instrumente zur Bewältigung von Management-Entscheidungen anwenden.,K,3,0.90,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1190,Grundlagen des Managements,4,Die Studierenden analysieren den Einfluss des Umfelds auf die Entwicklungen in Unternehmen und können in diesem Zusammenhang die Bedeutung volkswirtschaftlicher Aspekte einordnen.,K,4,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1190,Grundlagen des Managements,5,Die Studierenden können verschiedene Instrumente des Rechnungswesens zielgerichtet zur Abbildung finanzieller Ströme in Unternehmen nutzen.,K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1190,Grundlagen des Managements,6,Die Studierenden lernen unternehmerische Handlungsweisen kennen und können betriebswirtschaftliche Entscheidungssituationen analysieren und zielgerichtet gestalten.,K,6,0.70,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1229,Management Basics,1,Die Studierenden beherrschen zentrale Grundlagen des Managementhandelns in Unternehmen und kennen das unternehmerische Zielsystem.,K,1,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1229,Management Basics,2,Die Studierenden verstehen verschiedene Aufgaben des operativen und strategischen Managements und können diese zueinander in Beziehung setzen.,K,4,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1229,Management Basics,3,Die Studierenden können wichtige Instrumente zur Bewältigung von Management-Entscheidungen anwenden.,K,3,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1229,Management Basics,4,Die Studierenden analysieren den Einfluss des Umfelds auf die Entwicklungen in Unternehmen und können in diesem Zusammenhang die Bedeutung volkswirtschaftlicher Aspekte einordnen.,K,4,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1229,Management Basics,5,Die Studierenden können verschiedene Instrumente des Rechnungswesens zielgerichtet zur Abbildung finanzieller Ströme in Unternehmen nutzen.,K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1229,Management Basics,6,Die Studierenden lernen unternehmerische Handlungsweisen kennen und können betriebswirtschaftliche Entscheidungssituationen analysieren und zielgerichtet gestalten.,K,6,0.70,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1191,Mathematik II,1,Die Studierenden werden in das mathematische Denken eingeführt.,K,2,0.60,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1191,Mathematik II,2,"Die Studierenden kennen die mathematischen Grundlagen, die für das weitere Studium notwendig sind.",K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1230,Mathematics II,1,Die Studierenden werden in das mathematische Denken eingeführt.,K,2,0.60,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1230,Mathematics II,2,"Die Studierenden kennen die mathematischen Grundlagen, die für das weitere Studium notwendig sind.",K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1192,Organische Chemie,1,Die Studierenden erreichen ein Grundwissen der organischen Chemie.,K,1,0.70,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1192,Organische Chemie,2,"Die Studierenden sind in der Lage, aus der chemischen Struktur von Stoffen deren physikalische und technologische Eigenschaften abzuleiten.",K,4,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1192,Organische Chemie,3,Die Studierenden können grundlegende organisch-chemische Reaktionen formulieren bzw. nachvollziehen und sind somit imstande auch biochemische bzw. lebensmittelchemische Prozesse zu verstehen.,K,2,0.70,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1231,Organic Chemistry,1,Die Studierenden erreichen ein Grundwissen der organischen Chemie.,K,1,0.70,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1231,Organic Chemistry,2,"Die Studierenden sind in der Lage, aus der chemischen Struktur von Stoffen deren physikalische und technologische Eigenschaften abzuleiten.",K,4,0.80,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1231,Organic Chemistry,3,Die Studierenden können grundlegende organisch-chemische Reaktionen formulieren bzw. nachvollziehen und sind somit imstande auch biochemische bzw. lebensmittelchemische Prozesse zu verstehen.,K,2,0.70,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1193,Physikalische Chemie,1,Die Studierenden kennen die grundlegenden Begriffe und Konzepte der Wärmelehre.,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1193,Physikalische Chemie,2,Die Studierenden verstehen thermodynamische Prozesse.,K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1193,Physikalische Chemie,3,"Die Studierenden sind in der Lage, die in der Physikalischen Chemie behandelten Phänomene auf techno- logische Verfahren und biologische Prozesse zu übertragen.",K,3,0.85,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1193,Physikalische Chemie,4,Die Studierenden kennen die grundlegenden Begriffe und Konzepte der Elektrizitätslehre.,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1193,Physikalische Chemie,5,Die Studierenden können grundlegende Berechnungen selber durchführen und umfangreichere nachvollziehen.,K,3,0.85,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1193,Physikalische Chemie,6,Die Studierenden können das Erlernte auf praktische Problemstellungen anwenden.,K,3,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1232,Physical Chemistry,1,Die Studierenden kennen die grundlegenden Begriffe und Konzepte der Wärmelehre.,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1232,Physical Chemistry,2,Die Studierenden verstehen thermodynamische Prozesse.,K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1232,Physical Chemistry,3,"Die Studierenden sind in der Lage, die in der Physikalischen Chemie behandelten Phänomene auf techno- logische Verfahren und biologische Prozesse zu übertragen.",K,3,0.85,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1232,Physical Chemistry,4,Die Studierenden kennen die grundlegenden Begriffe und Konzepte der Elektrizitätslehre.,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1232,Physical Chemistry,5,Die Studierenden können grundlegende Berechnungen selber durchführen und umfangreichere nachvollziehen.,K,3,0.85,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1232,Physical Chemistry,6,Die Studierenden können das Erlernte auf praktische Problemstellungen anwenden.,K,3,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1304,Grundlagen der Biologie und Rohstoffkunde (IBT),1,Die Studierenden sind vertraut mit den grundlegenden Strukturen und Funktionen pflanzlicher und tierischer Zellen.,K,1,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1304,Grundlagen der Biologie und Rohstoffkunde (IBT),2,Die Studierenden kennen wichtige biochemische und physiologische Prozesse in pflanzlichen und tierischen Geweben.,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1304,Grundlagen der Biologie und Rohstoffkunde (IBT),3,Die Studierenden haben Kenntnisse über Entwicklung und Bau von Pflanzen (insbesondere von Angiospermen).,K,1,0.85,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1304,Grundlagen der Biologie und Rohstoffkunde (IBT),4,Die Studierenden wissen über Zusammensetzung und Qualität ausgewählter pflanzlicher und tierischer Rohstoffe Bescheid.,K,1,0.85,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1304,Grundlagen der Biologie und Rohstoffkunde (IBT),5,"Die Studierenden sind fähig, wesentliche Eigenschaften und technologische Eignung von Rohstoffen auf der Basis ihrer Zusammensetzung abzuschätzen.",K,5,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1304,Grundlagen der Biologie und Rohstoffkunde (IBT),6,Die Studierenden haben Grundkenntnisse zu Methoden der Qualitätsbestimmung und der Bewertung der Eignung von Rohstoffen sowie deren Anwendung in der industriellen Praxis.,K,1,0.75,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1305,Fundamentals of Biology and Raw Materials (IBT),1,Die Studierenden sind vertraut mit den grundlegenden Strukturen und Funktionen pflanzlicher und tierischer Zellen.,K,1,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1305,Fundamentals of Biology and Raw Materials (IBT),2,Die Studierenden kennen wichtige biochemische und physiologische Prozesse in pflanzlichen und tierischen Geweben.,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1305,Fundamentals of Biology and Raw Materials (IBT),3,Die Studierenden haben Kenntnisse über Entwicklung und Bau von Pflanzen (insbesondere von Angiospermen).,K,1,0.85,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1305,Fundamentals of Biology and Raw Materials (IBT),4,Die Studierenden wissen über Zusammensetzung und Qualität ausgewählter pflanzlicher und tierischer Rohstoffe Bescheid.,K,1,0.85,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1305,Fundamentals of Biology and Raw Materials (IBT),5,"Die Studierenden sind fähig, wesentliche Eigenschaften und technologische Eignung von Rohstoffen auf der Basis ihrer Zusammensetzung abzuschätzen.",K,5,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1305,Fundamentals of Biology and Raw Materials (IBT),6,Die Studierenden haben Grundkenntnisse zu Methoden der Qualitätsbestimmung und der Bewertung der Eignung von Rohstoffen sowie deren Anwendung in der industriellen Praxis.,K,1,0.75,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1375,Allgemeine Mikrobiologie,1,Die Studierenden beherrschen das Grundlagenwissen der allgemeinen Mikrobiologie und mikrobieller Arbeitstechniken,K,1,0.60,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1375,Allgemeine Mikrobiologie,2,"Die Studierenden kennen wichtige Gruppen an Mikroorganismen mit Relevanz für verschiedene Industriezweige (Kontaminanten, Pathogene und Produktionsorganismen)",K,1,0.90,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1375,Allgemeine Mikrobiologie,3,Die Studierenden können Standardverfahren der mikrobiologischen Analytik durchführen und bewerten.,K,5,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1375,Allgemeine Mikrobiologie,4,Die Studierenden kennen die spezifischen Wachstumsbedingungen der relevanten Organismen-Hauptgruppen und können grundlegende Kultivierungstechniken von Mikroorganismen durchführen,K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1376,General Microbiology,1,Die Studierenden beherrschen das Grundlagenwissen der allgemeinen Mikrobiologie und mikrobieller Arbeitstechniken,K,1,0.60,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1376,General Microbiology,2,"Die Studierenden kennen wichtige Gruppen an Mikroorganismen mit Relevanz für verschiedene Industriezweige (Kontaminanten, Pathogene und Produktionsorganismen)",K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1376,General Microbiology,3,Die Studierenden können Standardverfahren der mikrobiologischen Analytik durchführen und bewerten.,K,5,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1376,General Microbiology,4,Die Studierenden kennen die spezifischen Wachstumsbedingungen der relevanten Organismen-Hauptgruppen und können grundlegende Kultivierungstechniken von Mikroorganismen durchführen,K,3,0.80,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1306,Angewandte Biotechnologie,1,"Die Studierenden kennen die Grundlagen und verschiedenen Anwendungsgebiete der Biotechnologie, sowie die Besonderheiten und Probleme bei biotechnologischen Prozessen",K,1,0.90,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1306,Angewandte Biotechnologie,2,Die Studierenden erwerben grundlegende Kenntnisse über biotechnische Produktionsverfahren und Anwendungsgebiete technischer Enzyme.,K,1,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1306,Angewandte Biotechnologie,3,"Die Studierenden kennen und verstehen die Prinzipien der Fermentation, deren Regelung und der Produktaufarbeitung bei biotechnologischen Prozessen sowie deren praktische Anwendung",K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1307,Applied Biotechnology,1,"Die Studierenden kennen die Grundlagen und verschiedenen Anwendungsgebiete der Biotechnologie, sowie die Besonderheiten und Probleme bei biotechnologischen Prozessen",K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1307,Applied Biotechnology,2,Die Studierenden erwerben grundlegende Kenntnisse über biotechnische Produktionsverfahren und Anwendungsgebiete technischer Enzyme.,K,1,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1307,Applied Biotechnology,3,"Die Studierenden kennen und verstehen die Prinzipien der Fermentation, deren Regelung und der Produktaufarbeitung bei biotechnologischen Prozessen sowie deren praktische Anwendung",K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1308,Zellbiologie/Zellkulturtechnik,1,Die Studierenden können zellbiologische und physiologische Prozesse verstehen und anwenden.,K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1308,Zellbiologie/Zellkulturtechnik,2,Die Studierenden haben grundlegende Kenntnisse der Zellkulturtechnik erworben,K,1,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1308,Zellbiologie/Zellkulturtechnik,3,"Die Studierenden haben biochemische, molekularbiologische und zellbiologische Arbeitstechniken erlernt und können diese praktisch anwenden.",K,3,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1308,Zellbiologie/Zellkulturtechnik,4,Die Studierenden kennen molekulare Ursachen verschiedener Humanerkrankungen,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1309,Cell Biology / Cell Culture Technology,1,Die Studierenden können zellbiologische und physiologische Prozesse verstehen und anwenden.,K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1309,Cell Biology / Cell Culture Technology,2,Die Studierenden haben grundlegende Kenntnisse der Zellkulturtechnik erworben,K,1,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1309,Cell Biology / Cell Culture Technology,3,"Die Studierenden haben biochemische, molekularbiologische und zellbiologische Arbeitstechniken erlernt und können diese praktisch anwenden.",K,3,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1309,Cell Biology / Cell Culture Technology,4,Die Studierenden kennen molekulare Ursachen verschiedener Humanerkrankungen,K,1,0.90,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1310,Angewandte Mikrobiologie und Betriebshygiene,1,Die Studierenden kennen wichtige mikrobielle Produktionsorganismen,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1310,Angewandte Mikrobiologie und Betriebshygiene,2,"Die Studierenden kennen Methoden zum „Bioprospecting“ für neue mikrobiologische Ressourcen (Organismen, Enzyme, bioaktive Moleküle)",K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1310,Angewandte Mikrobiologie und Betriebshygiene,3,Die Studierenden können Desinfektions- und Sterilisationstechniken beurteilen und anwenden.,K,5,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1310,Angewandte Mikrobiologie und Betriebshygiene,4,Die Studierenden können Hygienepläne und HACCP-Konzepte (Hazard Analysis and Critical Control Points) selbstständig erstellen und bewerten.,K,6,0.70,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1310,Angewandte Mikrobiologie und Betriebshygiene,5,"Die Studierenden kennen mikrobielle, molekulare und immunologische Nachweismethoden für mikrobielle Kontaminanten und assoziierte Stoffkontaminanten (LPS, Toxine).",K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1310,Angewandte Mikrobiologie und Betriebshygiene,6,Die Studierenden erreichen durch die Arbeit im Labor ein Verständnis für die mikrobiologische Analytik sowie praktische Kompetenz für den späteren Berufsalltag.,K,2,0.70,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1311,Applied Microbiology and Industrial Hygiene,1,Die Studierenden kennen wichtige mikrobielle Produktionsorganismen,K,1,0.95,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1311,Applied Microbiology and Industrial Hygiene,2,"Die Studierenden kennen Methoden zum „Bioprospecting“ für neue mikrobiologische Ressourcen (Organismen, Enzyme, bioaktive Moleküle)",K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1311,Applied Microbiology and Industrial Hygiene,3,Die Studierenden können Desinfektions- und Sterilisationstechniken beurteilen und anwenden.,K,5,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1311,Applied Microbiology and Industrial Hygiene,4,Die Studierenden können Hygienepläne und HACCP-Konzepte (Hazard Analysis and Critical Control Points) selbstständig erstellen und bewerten.,K,6,0.70,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1311,Applied Microbiology and Industrial Hygiene,5,"Die Studierenden kennen mikrobielle, molekulare und immunologische Nachweismethoden für mikrobielle Kontaminanten und assoziierte Stoffkontaminanten (LPS, Toxine).",K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1311,Applied Microbiology and Industrial Hygiene,6,Die Studierenden erreichen durch die Arbeit im Labor ein Verständnis für die mikrobiologische Analytik sowie praktische Kompetenz für den späteren Berufsalltag.,K,2,0.70,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1046,"Mess-, Steuer-, Regelungstechnik",1,Die Studierenden kennen die grundlegenden Messtechniken der Elektrotechnik.,K,1,0.95,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1046,"Mess-, Steuer-, Regelungstechnik",2,Die Studierenden kennen die Eigenschaften von wichtigen Sensoren.,K,1,0.95,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1046,"Mess-, Steuer-, Regelungstechnik",3,Die Studierenden verfügen über grundlegende Kenntnisse in der Steuerungs- und Regelungstechnik.,K,1,0.85,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1046,"Mess-, Steuer-, Regelungstechnik",4,Die Studierenden können Lösungen für spezielle Anwendungen entwickeln und Lösungsvorschläge bewerten.,K,5,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1265,Measurement and Control Engineering,1,Die Studierenden kennen die grundlegenden Messtechniken der Elektrotechnik.,K,1,0.95,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1265,Measurement and Control Engineering,2,Die Studierenden kennen die Eigenschaften von wichtigen Sensoren.,K,1,0.95,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1265,Measurement and Control Engineering,3,Die Studierenden verfügen über grundlegende Kenntnisse in der Steuerungs- und Regelungstechnik.,K,1,0.85,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1265,Measurement and Control Engineering,4,Die Studierenden können Lösungen für spezielle Anwendungen entwickeln und Lösungsvorschläge bewerten.,K,5,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,1,Die Studierenden kennen die Grundlagen der Informationsrepräsentation und Informationsverarbeitung.,K,1,0.95,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,2,Die Studierenden kennen wichtige Rechnerkomponenten und deren Funktionsprinzipien.,K,1,0.95,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,3,Die Studierenden kennen Grundprinzipien der Programmierung und des Softwareentwurfs.,K,1,0.95,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,4,Die Studierenden beherrschen grundlegende Programmiertechniken und haben Basiswissen über Datenstrukturen und Algorithmen.,K,1,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,5,Die Studierenden können elementare Algorithmen erklären und für einfache Probleme selbst entwickeln.,K,6,0.75,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,6,Die Studierenden verfügen über ein fundiertes Grundwissen über die Konzepte einer höheren Programmiersprache.,K,1,0.85,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,7,"Die Studierenden können Programmcode analysieren, Fehler identifizieren und korrigieren.",K,4,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,8,Die Studierenden können Programme in einer höheren Programmiersprache selbstständig entwerfen und implementieren.,K,6,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,9,Die Studierenden können einfache Programmieraufgaben mithilfe der Programmiersprache lösen.,K,3,0.95,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,1,Die Studierenden kennen die Grundlagen der Informationsrepräsentation und Informationsverarbeitung.,K,1,0.90,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,2,Die Studierenden kennen wichtige Rechnerkomponenten und deren Funktionsprinzipien.,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,3,Die Studierenden kennen Grundprinzipien der Programmierung und des Softwareentwurfs.,K,1,0.90,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,4,Die Studierenden beherrschen grundlegende Programmiertechniken und haben Basiswissen über Datenstrukturen und Algorithmen.,K,1,0.75,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,5,Die Studierenden können elementare Algorithmen erklären und für einfache Probleme selbst entwickeln.,K,6,0.85,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,6,Die Studierenden verfügen über ein fundiertes Grundwissen über die Konzepte einer höheren Programmiersprache.,K,1,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,7,"Die Studierenden können Programmcode analysieren, Fehler identifizieren und korrigieren.",K,4,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,8,Die Studierenden können Programme in einer höheren Programmiersprache selbstständig entwerfen und implementieren.,K,6,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,9,Die Studierenden können einfache Programmieraufgaben mithilfe der Programmiersprache lösen.,K,3,0.95,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1196,Betriebswirtschaftliche Funktionen,1,Die Studierenden verstehen die betriebswirtschaftlichen Teilfunktionen aus realisations- und managementorientierter Sicht und können diese zueinander in Beziehung setzen.,K,4,0.80,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1196,Betriebswirtschaftliche Funktionen,2,Die Studierenden lernen funktionsbezogene Handlungsweisen kennen und können entsprechende Entscheidungssituationen in Unternehmen analysieren und zielgerichtet gestalten.,K,6,0.80,test
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1196,Betriebswirtschaftliche Funktionen,3,"Die Studierenden wenden verschiedene Instrumente und Vorgehensweisen zur Gestaltung von Prozessen des Supply Managements, der Produktion und des Vertriebs/Marketings in exemplarischen Entscheidungssituationen an.",K,3,0.90,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1196,Betriebswirtschaftliche Funktionen,4,"Die Studierenden können verschiedene Instrumente der strategischen Planung, der Organisationsgestaltung und Personalführung in unternehmensbezogenen Anwendungskontexten nutzen.",K,3,0.85,train
Industrielle Biotechnologie (B.Sc.),Hochschule Fulda,LT1032,Thermische Verfahrenstechnik,1,Die Studierenden verfügen über ein Grundverständnis von Stoff- und Wärmeübergängen.,K,2,0.80,train
