studiengang,modul_id,modulname,satz_nr,satz,llm_typ,llm_taxonomie,llm_konfidenz,typ,taxonomie,kommentar
Global Software Development (M.Sc.),AI5094,Software Development Project,4,Durch die Arbeit in Teams verbessern sie ihre Kommunikationsfähigkeit und strategische Entscheidungsfindung und lernen Verantwortung zu übernehmen.,K,3,0.65,,,
Global Software Development (M.Sc.),AI5122,Advanced Big Data,2,Die Größe und Komplexität der heute in der Wirtschaft und Industrie anfallenden Daten erfordern eine weiterentwickelte bzw. veränderte Herangehensweise: Big Data und die damit verbundenen Technologien und Strategien.,I,,0.95,,,
Global Software Development (M.Sc.),AI5122,Advanced Big Data,3,"Nach erfolgreicher Teilnahme an dieser Lehrveranstaltung sind die Studierenden in der Lage,",S,,0.99,,,
Global Software Development (M.Sc.),AI5046,Cryptography - Theory and Applications,1,Die Studierenden haben einen Überblick über Anwendungen der Kryptografie in IT-Systemen.,K,2,0.75,,,
Global Software Development (M.Sc.),AI5046,Cryptography - Theory and Applications,3,Sie sind mit steganografischen Methoden der verdeckten Kommunikation vertraut.,K,1,0.75,,,
Global Software Development (M.Sc.),AI5083,User-Centered Development,8,Die Studierenden stärken ihre Kompetenzen bezüglich Gruppenarbeit durch Zusammenarbeit mit anderen Teammitgliedern.,K,3,0.60,,,
Global Software Development (M.Sc.),AI5174,Stream Processing and Analytics,14,Die Studierenden wirken aktiv an der angewandten Forschung in diesem Bereich mit.,K,6,0.65,,,
Global Software Development (M.Sc.),AI4001,Additional Courses,1,"Die Studierenden erweitern und vertiefen ihre studienbezogenen Kenntnisse durch Belegung von Modulen aus den Studiengängen des Fachbereichs Angewandte Informatik im Hinblick auf den angestrebten Abschluss, siehe § 5 Abs. 3.",K,3,0.60,,,
Global Software Development (M.Sc.),AI5118,German Language,1,"Die Studierenden haben nach Absolvierung entsprechender Module Sprachkenntnisse in Deutsch erworben, siehe §5 Abs. 5",K,1,0.75,,,
Global Software Development (M.Sc.),AI5092,Intercultural Study of Computer Science,2,Sie erleben unterschiedliche Lehr- und Prüfungsstile.,K,1,0.60,,,
Global Software Development (M.Sc.),AI5092,Intercultural Study of Computer Science,3,Sie verfügen über einen großen Erfahrungsschatz im Umgang mit Alltagssituationen und Kommunikationseinstellungen in einem interkulturellen Umfeld.,K,1,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1187,Allgemeine Chemie,4,Die Studierenden beherrschen durch die Beschäftigung mit der Chemie strukturiertes Arbeiten und logisches Denken.,K,3,0.65,,,
Industrielle Biotechnologie (B.Sc.),LT1225,General Chemistry,1,Die Studierenden erreichen ein Grundwissen der allgemeinen und anorganischen Chemie.,K,1,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1225,General Chemistry,3,Die Studierenden sind aufgrund der Kenntnisse des stöchiometrischen Rechnens für die praktische Laborarbeit gut vorbereitet.,K,3,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1225,General Chemistry,4,Die Studierenden beherrschen durch die Beschäftigung mit der Chemie strukturiertes Arbeiten und logisches Denken.,K,3,0.50,,,
Industrielle Biotechnologie (B.Sc.),LT1123,Grundlagen des wissenschaftlichen Arbeitens,4,Die Studierenden verfügen über Handlungs- und Problemlösungskompetenz.,K,3,0.50,,,
Industrielle Biotechnologie (B.Sc.),LT1228,Principles of Scientific Research,4,Die Studierenden verfügen über Handlungs- und Problemlösungskompetenz.,K,3,0.40,,,
Industrielle Biotechnologie (B.Sc.),LT1191,Mathematik II,1,Die Studierenden werden in das mathematische Denken eingeführt.,K,2,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1230,Mathematics II,1,Die Studierenden werden in das mathematische Denken eingeführt.,K,2,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1304,Grundlagen der Biologie und Rohstoffkunde (IBT),5,"Die Studierenden sind fähig, wesentliche Eigenschaften und technologische Eignung von Rohstoffen auf der Basis ihrer Zusammensetzung abzuschätzen.",K,5,0.80,,,
Industrielle Biotechnologie (B.Sc.),LT1304,Grundlagen der Biologie und Rohstoffkunde (IBT),6,Die Studierenden haben Grundkenntnisse zu Methoden der Qualitätsbestimmung und der Bewertung der Eignung von Rohstoffen sowie deren Anwendung in der industriellen Praxis.,K,1,0.75,,,
Industrielle Biotechnologie (B.Sc.),LT1305,Fundamentals of Biology and Raw Materials (IBT),6,Die Studierenden haben Grundkenntnisse zu Methoden der Qualitätsbestimmung und der Bewertung der Eignung von Rohstoffen sowie deren Anwendung in der industriellen Praxis.,K,1,0.75,,,
Industrielle Biotechnologie (B.Sc.),LT1375,Allgemeine Mikrobiologie,1,Die Studierenden beherrschen das Grundlagenwissen der allgemeinen Mikrobiologie und mikrobieller Arbeitstechniken,K,1,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1376,General Microbiology,1,Die Studierenden beherrschen das Grundlagenwissen der allgemeinen Mikrobiologie und mikrobieller Arbeitstechniken,K,1,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1359,Fundamentals of Computer Science,4,Die Studierenden beherrschen grundlegende Programmiertechniken und haben Basiswissen über Datenstrukturen und Algorithmen.,K,1,0.75,,,
Industrielle Biotechnologie (B.Sc.),LT1032,Thermische Verfahrenstechnik,3,Die Studierenden beherrschen die Bilanzierungen bzgl.,S,,0.70,,,
Industrielle Biotechnologie (B.Sc.),LT1242,Thermal Process Engineering,4,Masse und Energie.,S,,0.70,,,
Industrielle Biotechnologie (B.Sc.),LT1198,Biochemie,1,Die Studierenden erwerben einen Überblick über wesentliche Stoffwechselwege,K,1,0.75,,,
Industrielle Biotechnologie (B.Sc.),LT1245,Biochemistry,1,Die Studierenden erwerben einen Überblick über wesentliche Stoffwechselwege,K,1,0.75,,,
Industrielle Biotechnologie (B.Sc.),LT1037,Haltbarmachung und Verpackung,1,Die Studierenden beherrschen die Mechanismen der Verderbsreaktionen.,K,1,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1037,Haltbarmachung und Verpackung,4,"Die Studierenden sind in der Lage, Verpackungen allgemein und insbesondere Verpackungen für Lebensmittelindustrie, pharmazeutische Industrie und kosmetische Industrie zu verstehen und in groben rechtlichen und technologischen Grundzügen zu bewerten.",K,5,0.75,,,
Industrielle Biotechnologie (B.Sc.),LT1248,Preservation and Packaging,1,Die Studierenden beherrschen die Mechanismen der Verderbsreaktionen.,K,1,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1248,Preservation and Packaging,4,"Die Studierenden sind in der Lage, Verpackungen allgemein und insbesondere Verpackungen für Lebensmittelindustrie, pharmazeutische Industrie und kosmetische Industrie zu verstehen und in groben rechtlichen und technologischen Grundzügen zu bewerten.",K,5,0.75,,,
Industrielle Biotechnologie (B.Sc.),LT1316,Recht für Biotechnologie,3,Die Studierenden können Gefährdungen für Arbeitnehmer erkennen und durch geeignete Maßnahmen abwenden.,K,5,0.75,,,
Industrielle Biotechnologie (B.Sc.),LT1322,Qualitätsmanagement (IBT),8,"Die Thematik wird im Team bearbeitet und das erarbeitete Ergebnis präsentiert und diskutiert. [Team-/Führungsfähigkeit, 6]",K,2,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1323,Quality Management (IBT),1,Die Studierenden sollen nach einer Einführung in das Thema Qualitätsmanagement vor allem dessen Umsetzung durch die „Good Manufacturing Practice“ (GMP) vermittelt bekommen.,S,,0.80,,,
Industrielle Biotechnologie (B.Sc.),LT1323,Quality Management (IBT),8,"Die Thematik wird im Team bearbeitet und das erarbeitete Ergebnis präsentiert und diskutiert. [Team-/Führungsfähigkeit, 6]",K,2,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1038,Praxisphase,1,Die Studierenden orientieren sich in den verschiedenen Berufsfeldern.,K,1,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1252,Internship,1,Die Studierenden orientieren sich in den verschiedenen Berufsfeldern.,K,1,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1324,Abschlussmodul (Bachelor-Thesis),2,Die Studierenden können die Ergebnisse logisch und übersichtlich geordnet in Form einer wissenschaftlichen Arbeit schriftlich dokumentieren (Bachelor Thesis) und mit geeigneten multimedialen Hilfsmitteln mündlich darstellen und vertreten (Kolloquium).,K,2,0.75,,,
Industrielle Biotechnologie (B.Sc.),LT1024,Grundlagen und Physiologie der Ernährung,1,Die Studierenden kennen,S,,0.90,,,
Industrielle Biotechnologie (B.Sc.),LT1047,Trocknungstechnik,2,Die Studierenden sind mit apparativen Grundlösungen vertraut.,K,1,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1255,Drying Technology,2,Die Studierenden sind mit apparativen Grundlösungen vertraut.,K,1,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1257,Industrial Plants and Facility Management,4,Die Studierenden vertiefen die Anwendung für die Praxis anhand von Beispielen und Übungsprojekten in weitgehend selbstständiger Arbeitsweise.,K,3,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1043,Pharmazeutische Technologie,3,Die Studierenden können pharmazeutische Vorgangsweisen und Prozesse überblicken.,K,2,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1043,Pharmazeutische Technologie,4,Die Studierenden sind zu selbstständiger Arbeit in der Formulierungsentwicklung und der Herstellung sowie Prüfung von Arzneimitteln befähigt.,K,3,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1263,Pharmaceutical Technology,3,Die Studierenden können pharmazeutische Vorgangsweisen und Prozesse überblicken.,K,2,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1263,Pharmaceutical Technology,4,Die Studierenden sind zu selbstständiger Arbeit in der Formulierungsentwicklung und der Herstellung sowie Prüfung von Arzneimitteln befähigt.,K,3,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1033,Ausgewählte Kapitel der Lebensmitteltechnologie,2,Die Studierenden sind auf die gegenwärtigen und zukünftigen Anforderungen an Lebensmitteltechnolog*innen vorbereitet.,S,,0.70,,,
Industrielle Biotechnologie (B.Sc.),LT1250,Selected Topics of Food Technology,2,Die Studierenden sind auf die gegenwärtigen und zukünftigen Anforderungen an Lebensmitteltechnolog*innen vorbereitet.,S,,0.60,,,
Industrielle Biotechnologie (B.Sc.),LT1397,Auslandsmodul I,2,"Die Studierenden entwickeln und validieren Fach-, Methoden-, Selbst- und Sozialkompetenz in einem internationalen bzw. fremdkulturellen Studienkontext.",K,6,0.50,,,
Industrielle Biotechnologie (B.Sc.),LT1398,Auslandsmodul II,2,"Die Studierenden entwickeln und validieren Fach-, Methoden-, Selbst- und Sozialkompetenz in einem internationalen bzw. fremdkulturellen Studienkontext.",K,6,0.50,,,
Lebensmitteltechnologie (B.Sc.),LT1186,Mathematik I,1,Die Studierenden werden in das mathematische Denken eingeführt.,S,,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1224,Mathematics I,1,Die Studierenden werden in das mathematische Denken eingeführt.,S,,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1187,Allgemeine Chemie,3,Die Studierenden sind aufgrund der Kenntnisse des stöchiometrischen Rechnens für die praktische Laborarbeit gut vorbereitet.,S,,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1187,Allgemeine Chemie,4,Die Studierenden beherrschen durch die Beschäftigung mit der Chemie strukturiertes Arbeiten und logisches Denken.,K,3,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1225,General Chemistry,3,Die Studierenden sind aufgrund der Kenntnisse des stöchiometrischen Rechnens für die praktische Laborarbeit gut vorbereitet.,S,,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1225,General Chemistry,4,Die Studierenden beherrschen durch die Beschäftigung mit der Chemie strukturiertes Arbeiten und logisches Denken.,K,3,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1189,Grundlagen Ingenieurwesen,2,Die Studierenden erkennen die ingenieurwissenschaftlichen Zusammenhänge bei der Produktion von biotechnologischen Produkten und Lebensmitteln.,K,4,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1227,Basic Principles of Engineering,2,Die Studierenden erkennen die ingenieurwissenschaftlichen Zusammenhänge bei der Produktion von biotechnologischen Produkten und Lebensmitteln.,K,4,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1123,Grundlagen des wissenschaftlichen Arbeitens,4,Die Studierenden verfügen über Handlungs- und Problemlösungskompetenz.,S,,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1228,Principles of Scientific Research,4,Die Studierenden verfügen über Handlungs- und Problemlösungskompetenz.,S,,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1191,Mathematik II,1,Die Studierenden werden in das mathematische Denken eingeführt.,K,2,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1230,Mathematics II,1,Die Studierenden werden in das mathematische Denken eingeführt.,K,2,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1231,Organic Chemistry,2,"Die Studierenden sind in der Lage, aus der chemischen Struktur von Stoffen deren physikalische und technologische Eigenschaften abzuleiten.",K,4,0.80,,,
Lebensmitteltechnologie (B.Sc.),LT1376,General Microbiology,3,Die Studierenden verfügen über einen Überblick über moderne und sich in der Entwicklung befindliche Alternativen zu den bestehenden Techniken und Technologieschritten sowie deren Kombinationsmöglichkeiten.,K,1,0.65,,,
Lebensmitteltechnologie (B.Sc.),LT1376,General Microbiology,5,Die Studierenden erlangen die Grundlagen für die Beurteilung bestehender und alternativer Technologien und können sich zukünftig im Felde der Herstellungstechnologien kreativ und innovativ betätigen.,K,6,0.65,,,
Lebensmitteltechnologie (B.Sc.),LT1235,Food Technology I,3,Die Studierenden verfügen über einen Überblick über moderne und sich in der Entwicklung befindliche Alternativen zu den bestehenden Techniken und Technologieschritten sowie deren Kombinationsmöglichkeiten.,K,1,0.65,,,
Lebensmitteltechnologie (B.Sc.),LT1235,Food Technology I,5,Die Studierenden erlangen die Grundlagen für die Beurteilung bestehender und alternativer Technologien und können sich zukünftig im Felde der Herstellungstechnologien kreativ und innovativ betätigen.,K,6,0.65,,,
Lebensmitteltechnologie (B.Sc.),LT1027,Lebensmittelchemie,5,Die Studierenden können strukturierte Berichte abfassen.,K,6,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1236,Food Chemistry,5,Die Studierenden können strukturierte Berichte abfassen.,K,6,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1197,Lebensmitteltechnologie II,2,Die Studierenden werden zu einer ganzheitlichen Betrachtungsweise komplexer Vorgänge befähigt.,K,4,0.50,,,
Lebensmitteltechnologie (B.Sc.),LT1238,Food Technology II,2,Die Studierenden werden zu einer ganzheitlichen Betrachtungsweise komplexer Vorgänge befähigt.,K,4,0.50,,,
Lebensmitteltechnologie (B.Sc.),LT1196,Betriebswirtschaftliche Funktionen,2,Die Studierenden lernen funktionsbezogene Handlungsweisen kennen und können entsprechende Entscheidungssituationen in Unternehmen analysieren und zielgerichtet gestalten.,K,6,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1024,Grundlagen und Physiologie der Ernährung,1,Die Studierenden kennen,S,,0.70,,,
Lebensmitteltechnologie (B.Sc.),LT1124,Statistik für Ingenieur*innen,1,Die Studierenden werden in die Denkweise und die Methoden der Statistik eingeführt.,S,,0.80,,,
Lebensmitteltechnologie (B.Sc.),LT1243,Statistics for Engineers,1,Die Studierenden werden in die Denkweise und die Methoden der Statistik eingeführt.,S,,0.75,,,
Lebensmitteltechnologie (B.Sc.),LT1026,Lebensmitteltechnologie/-verfahrenstechnik,4,"Die Studierenden können die Herstellung exemplarischer Lebensmittel aus der Sicht unterschiedlicher Bereiche beurteilen und die Möglichkeiten, Problemstellungen und Grenzen der entsprechenden Fachgebiete einschätzen.",K,5,0.85,,,
Lebensmitteltechnologie (B.Sc.),LT1247,Food Technology III,3,Die Studierenden sind in der Lage die erworbenen Kenntnisse aus den genannten Fachdisziplinen synergistisch (neu) zu kombinieren und dadurch facettenreich und innovativ anzuwenden.,K,6,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1037,Haltbarmachung und Verpackung,5,"Auf Grund der Kenntnisse können sie die Eignung von Verpackungen für spezifische Produkte abschätzen und Verpackungslösungen verstehen, beurteilen und in engerem Rahmen selbst entwickeln.",K,6,0.65,,,
Lebensmitteltechnologie (B.Sc.),LT1248,Preservation and Packaging,5,"Auf Grund der Kenntnisse können sie die Eignung von Verpackungen für spezifische Produkte abschätzen und Verpackungslösungen verstehen, beurteilen und in engerem Rahmen selbst entwickeln.",K,6,0.65,,,
Lebensmitteltechnologie (B.Sc.),LT1023,Lebensmittelrecht,3,"Die Studierenden erreichen ein Verständnis für Dynamik und Veränderungsprinzipien der gesetzlichen Normen und sind dadurch in der Lage, zukünftige Änderungen der Gesetzgebung zu antizipieren und in den beruflichen Alltag zu integrieren.",K,6,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1023,Lebensmittelrecht,5,Die Studierenden lernen durch die vielfältigen Themenstellungen im Lebensmittelrecht fachübergreifend zu argumentieren.,K,5,0.65,,,
Lebensmitteltechnologie (B.Sc.),LT1249,Food Law,3,"Die Studierenden erreichen ein Verständnis für Dynamik und Veränderungsprinzipien der gesetzlichen Normen und sind dadurch in der Lage, zukünftige Änderungen der Gesetzgebung zu antizipieren und in den beruflichen Alltag zu integrieren.",K,6,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1249,Food Law,5,Die Studierenden lernen durch die vielfältigen Themenstellungen im Lebensmittelrecht fachübergreifend zu argumentieren.,K,5,0.65,,,
Lebensmitteltechnologie (B.Sc.),LT1033,Ausgewählte Kapitel der Lebensmitteltechnologie,1,"Die Studierenden lernen aktuelle Themen der Lebensmitteltechnologie kennen und sind in der Lage, Querbezüge zwischen neuen Techniken, aktuellen Themen der Grundstoffnutzung und zukünftigen Anforderungen der Technologieentwicklung zu ziehen.",K,4,0.65,,,
Lebensmitteltechnologie (B.Sc.),LT1250,Selected Topics of Food Technology,2,Die Studierenden sind auf die gegenwärtigen und zukünftigen Anforderungen an Lebensmitteltechnolog*innen vorbereitet.,K,3,0.40,,,
Lebensmitteltechnologie (B.Sc.),LT1038,Praxisphase,1,Die Studierenden orientieren sich in den verschiedenen Berufsfeldern.,K,1,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1252,Internship,1,Die Studierenden orientieren sich in den verschiedenen Berufsfeldern.,K,1,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1047,Trocknungstechnik,1,Die Studierenden verfügen über ein Grundverständnis von Trocknungsprozessen.,K,2,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1047,Trocknungstechnik,2,Die Studierenden sind mit apparativen Grundlösungen vertraut.,K,1,0.50,,,
Lebensmitteltechnologie (B.Sc.),LT1255,Drying Technology,1,Die Studierenden verfügen über ein Grundverständnis von Trocknungsprozessen.,K,2,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1255,Drying Technology,2,Die Studierenden sind mit apparativen Grundlösungen vertraut.,K,1,0.50,,,
Lebensmitteltechnologie (B.Sc.),LT1256,Systems Engineering and Hygienic Design,2,Die Studierenden sind durch die Kenntnis hygienischer Voraussetzung zum Verstehen und Beurteilen der hygienegerechten Gestaltung von Komponenten und Anlagen zur Herstellung sensibler Produkte befähigt.,K,5,0.70,,,
Lebensmitteltechnologie (B.Sc.),LT1049,Industrieanlagen & Facility Management,2,Die Studierenden können Planungsvarianten und deren Bedeutung bei der Realisierung erfassen.,K,4,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1049,Industrieanlagen & Facility Management,3,"Die Studierenden sind in der Lage, Planungsvarianten unter dem Aspekt der Funktionalität zu prüfen.",K,5,0.70,,,
Lebensmitteltechnologie (B.Sc.),LT1049,Industrieanlagen & Facility Management,4,Die Studierenden vertiefen die Anwendung für die Praxis anhand von Beispielen und Übungsprojekten in weitgehend selbstständiger Arbeitsweise.,K,3,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1257,Industrial Plants and Facility Management,2,Die Studierenden können Planungsvarianten und deren Bedeutung bei der Realisierung erfassen.,K,4,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1257,Industrial Plants and Facility Management,4,Die Studierenden vertiefen die Anwendung für die Praxis anhand von Beispielen und Übungsprojekten in weitgehend selbstständiger Arbeitsweise.,K,3,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1360,Grundlagen der Informatik,4,Die Studierenden beherrschen grundlegende Programmiertechniken und haben Basiswissen über Datenstrukturen und Algorithmen.,K,1,0.50,,,
Lebensmitteltechnologie (B.Sc.),LT1360,Grundlagen der Informatik,6,Die Studierenden verfügen über ein fundiertes Grundwissen über die Konzepte einer höheren Programmiersprache.,K,1,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1359,Fundamentals of Computer Science,4,Die Studierenden beherrschen grundlegende Programmiertechniken und haben Basiswissen über Datenstrukturen und Algorithmen.,K,1,0.50,,,
Lebensmitteltechnologie (B.Sc.),LT1359,Fundamentals of Computer Science,6,Die Studierenden verfügen über ein fundiertes Grundwissen über die Konzepte einer höheren Programmiersprache.,K,1,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1397,Auslandsmodul I,2,"Die Studierenden entwickeln und validieren Fach-, Methoden-, Selbst- und Sozialkompetenz in einem internationalen bzw. fremdkulturellen Studienkontext.",K,6,0.50,,,
Lebensmitteltechnologie (B.Sc.),LT1398,Auslandsmodul II,2,"Die Studierenden entwickeln und validieren Fach-, Methoden-, Selbst- und Sozialkompetenz in einem internationalen bzw. fremdkulturellen Studienkontext.",K,6,0.50,,,
Lebensmitteltechnologie (B.Sc.),LT1001,Interkulturelle Kompetenz,1,"Die Studierenden lernen den Umgang mit anderen Kulturen, indem sie für deren charakteristische Eigenschaften sensibilisiert werden.",K,2,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1001,Interkulturelle Kompetenz,3,Die Studierenden lernen den Umgang mit Konflikten und Vorurteilen zwischen Kulturen.,K,3,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1001,Interkulturelle Kompetenz,4,"Die Studierenden werden mit verschiedenen Situationen, Theorien und Übungen zum Erlernen interkultureller Kompetenz konfrontiert und so für interkulturelle Begegnungen sensibilisiert.",K,3,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1001,Interkulturelle Kompetenz,5,Die Studierenden werden auf künftige Auslandsaufenthalte im Studium und Beruf bzw. die Zusammenarbeit mit multikulturellen Arbeitsgruppen vorbereitet.,S,,0.60,,,
Lebensmitteltechnologie (B.Sc.),LT1001,Interkulturelle Kompetenz,1,Die Studierenden erweitern in Vorbereitung auf den zweisemestrigen Auslandsaufenthalt im Rahmen des erweiterten Bachelor-Studiengangs Lebensmitteltechnologie PLUS ihre sprachlichen Kenntnisse,K,3,0.60,,,
Mechatronik (B.Sc.),ET1599,Physik,5,die Grundlagen der spez.,S,,0.90,,,
Mechatronik (B.Sc.),ET1599,Physik,8,qualitativ die chem.,S,,0.90,,,
Mechatronik (B.Sc.),ET1600,Technikprojekt,6,Grundverständnis für technische und physikalische Zusammenhänge,I,,0.70,,,
Mechatronik (B.Sc.),ET1600,Technikprojekt,13,methodisches Arbeiten,I,,0.60,,,
Mechatronik (B.Sc.),ET1588,Xperience Lab 1,3,Messergebnisse zu dokumentieren und zu bewerten,K,5,0.85,,,
Mechatronik (B.Sc.),ET1113,Grundlagen der Thermodynamik und Strömungslehre,3,Die Studierenden beherrschen die Grundlagen der Strömungslehre.,K,1,0.60,,,
Mechatronik (B.Sc.),ET1114,Maschinenelemente und Werkstoffe im Maschinenbau,2,die Funktion und das Zusammenwirken der Maschinenelemente innerhalb einer Maschine zu erkennen,K,4,0.75,,,
Mechatronik (B.Sc.),ET1116,Praktikum: Mechatronik,2,"Zur praktischen Vertiefung werden mechatronische Prozesse, die jeweils Teilaspekte aus der Elektrotechnik, dem Maschinenbau und der Informationstechnik beinhalten in einem Entwicklungsprojekt oder im Experiment behandelt.",I,,0.90,,,
Mechatronik (B.Sc.),ET1041,Feldbusse,4,Das Modul integriert Fachkompetenzen der Digitaltechnik und der Informatik.,I,,0.95,,,
Wirtschaftsinformatik (B.Sc.),AI1438,Mathematik für Wirtschaftsinformatiker 1,2,"Die Studierenden erwerben Kompetenzen, die ihnen erlauben, selbständig weiterführende Lernprozesse zu gestalten und sich mit Fachvertretern und mit Laien über Ideen, Probleme und Lösungen auszutauschen.",K,6,0.60,,,
Wirtschaftsinformatik (B.Sc.),AI1438,Mathematik für Wirtschaftsinformatiker 1,3,Es werden systematische und methodische Vorgehensweisen geschult.,S,,0.70,,,
Wirtschaftsinformatik (B.Sc.),AI1012,Algorithmen und Datenstrukturen,6,Die Studierenden erstellen in Gruppen Präsentationen zu selbst erarbeiteten komplexen Datenstrukturen und Algorithmen.,K,6,0.65,,,
Wirtschaftsinformatik (B.Sc.),AI1274,Management und Marketing,1,Management: Die Studierenden verfügen über Kompetenzen im Bereich Unternehmens- und Personalführung sowie Organisation.,K,3,0.50,,,
Wirtschaftsinformatik (B.Sc.),AI1274,Management und Marketing,3,"Marketing: Die Studierenden verfügen über detaillierte Kenntnisse der Prozesse im Marketing, um Informatik-Leistungen auch an externe oder interne Kunden vermarkten zu können und sind mit den Instrumenten des Marketings vertraut.",K,3,0.65,,,
Wirtschaftsinformatik (B.Sc.),AI1275,Controlling und IT Controlling,1,Viele Informatiker*innen werden im Verlauf ihres Berufslebens Linien- oder Projektverantwortung tragen.,S,,0.95,,,
Wirtschaftsinformatik (B.Sc.),AI1275,Controlling und IT Controlling,3,Die LVA Controlling und IT Controlling vermittelt ihnen die hierfür notwendigen Kenntnisse und Fähigkeiten.,S,,0.80,,,
Wirtschaftsinformatik (B.Sc.),AI1045,CRM-Systeme,4,"Die Studierenden vertiefen das bisher in grundlegenden Veranstaltungen zur Betriebswirtschaft, zu ERP-Systemen und zum Data-Warehouse Gelernte unter dem Aspekt des Kundenbeziehungsmanagements und können die verschiedenen Themengebiete unter dem CRM-Aspekt unterscheiden und den entsprechenden Komponenten zuordnen.",K,4,0.80,,,
Wirtschaftsinformatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,4,AI1030 Entwicklung von betrieblicher Anwendungssoftware SPO B.Sc.,S,,1.00,,,
Wirtschaftsinformatik (B.Sc.),AI1273,Grundlagen der Wirtschaftspolitik,4,Beteiligen sich aktiv an aktuellen wirtschaftspolitischen Debatten.,K,3,0.65,,,
Wirtschaftsinformatik (B.Sc.),AI1273,Grundlagen der Wirtschaftspolitik,5,Die Studierenden ordnen die vorgebrachten Argumente theoretisch ein und bewerten diese.,K,5,0.90,,,
Wirtschaftsingenieurwesen (B.Sc.),ET1599,Physik,6,Relativitätstheorie zu beschreiben und den rechnerischen Umgang mit deren technischen Konsequenzen zu nennen,K,2,0.60,,,
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,6,Grundverständnis für technische und physikalische Zusammenhänge,I,,0.70,,,
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,7,Verständnis einfacher elektrischer Schaltungen,I,,0.70,,,
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,13,methodisches Arbeiten,I,,0.65,,,
Wirtschaftsingenieurwesen (B.Sc.),ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,2,"die Gewinnauswirkung, Eigenkapitalauswirkung und Cash-Auswirkung eines Geschäftsvorfalles zu",S,,0.60,,,
Wirtschaftsingenieurwesen (B.Sc.),ET1047,Wahrscheinlichkeitsrechnung und Statistik,1,Die Teilnehmenden,S,,0.99,,,
Wirtschaftsingenieurwesen (B.Sc.),ET1016,Einführung in die Messtechnik und Systemtheorie,2,"die wesentlichen Investitionsrechenverfahren auf einfache Fallbeispiele anzuwenden, die Vor- und Nachteile der Verfahren zu beschreiben und ihre Aussagen zu beurteilen",K,5,0.85,,,
