nr,hochschule,modulname,satz,val_typ,val_taxonomie,val_qualitaet,val_kommentar
137,Hochschule Fulda,Grundlagen der Thermodynamik und Strömungslehre,"Sie kennen die Größen, die die thermodynamischen Eigenschaften von Stoffen beschreiben und können diese durch grundlegende Anwendung von Stoffwertekorrelationen berechnen. [cite: 26]",K,1;3,gut,
138,Hochschule Fulda,Maschinenelemente und Werkstoffe im Maschinenbau,"grundlegende Maschinenelemente fertigungsgerecht und funktionssicher auszulegen [cite: 26]",K,3,akzeptabel,Infinitiv
139,Hochschule Fulda,Berufspraktikum,"die eigene, individuelle Qualifikation zu analysieren und zu bewerten [cite: 27]",K,4;5,akzeptabel,Infinitiv
140,Hochschule Fulda,Feldbusse,"Die Teilnehmenden sind in der Lage, technische Grundlagen, den Einsatz, die Struktur, den Aufbau und die Funktion moderner industrieller Kommunikationstechnologie wieder zu geben. [cite: 27]",K,1,gut,
141,Hochschule Fulda,Feldbusse,"Sie kennen Komponenten und Geräte, mit denen mobile und stationäre Systeme vernetzt werden können sowie eine Auswahl an Kommunikationsprotokollen und deren applikationsspezifische Anwendung. [cite: 27]",K,1,gut,
142,Hochschule Fulda,Betriebswirtschaftslehre 1,"Die Studierenden geben die wesentlichen Grundlagen der Betriebswirtschaftslehre wieder. [cite: 27]",K,1,gut,
143,Hochschule Fulda,Mathematik für Wirtschaftsinformatiker 1,"Die Studierenden erwerben Kompetenzen, die ihnen erlauben, selbständig weiterführende Lernprozesse zu gestalten und sich mit Fachvertretern und mit Laien über Ideen, Probleme und Lösungen auszutauschen. [cite: 27]",K,3,akzeptabel,
144,Hochschule Fulda,Betriebswirtschaftslehre 2,"Die Studierenden definieren und unterscheiden Fachbegriffe aus den betrieblichen Funktionen Personal- und Materialwirtschaft, Logistik, Produktion, Marketing sowie der Planung als Teil der betrieblichen Leitungsfunktion. [cite: 28]",K,1;4,gut,
145,Hochschule Fulda,IT-Sicherheit,"Die Studierenden benennen Angriffstechniken und Herausforderungen bei der Absicherung von IT-Systemen. [cite: 28]",K,1,gut,
146,Hochschule Fulda,Praxisprojekt,"Die Studierenden wenden das erlernte Fach- und Methodenwissen aus dem Studium in einer Unternehmensumgebung an. [cite: 28]",K,3,gut,
147,Hochschule Fulda,Digitalisierung von Geschäftsprozessen mit Low Code,"Die Studierenden können die prinzipiellen konzeptionellen Unterschiede verschiedener Low-Code Programmierformen und deren Bezug zum komponentenbasierten Softwareengineering sowie der agilen Softwareentwicklung darstellen. [cite: 28]",K,2,gut,
148,Hochschule Fulda,Digitalisierung von Geschäftsprozessen mit Low Code,"Die Studierenden kennen ein Vorgehensmodell zur Durchführung von Low-Code-Projekten und können ihre in diesem Modul erworbenen technischen Kompetenzen dort einordnen und bei Bedarf auf Plattformen mit einem nicht-prozessorientierten Ansatz übertragen. [cite: 28]",K,1;3;4,gut,
149,Hochschule Fulda,Entwicklung von betrieblicher Anwendungssoftware,"Wirtschaftsinformatik vom 22.01.2020, zuletzt geändert am 17.01.2024 Hochschule Fulda, Fachbereich Angewandte Informatik Seite 57 [cite: 29]",S,,,schlecht,Tabellenartefakt
150,Hochschule Fulda,Personalmanagement,"Die Studierenden erläutern den Personaleinsatz, die Personalentwicklung und -freisetzung. [cite: 29]",K,2,gut,
151,Hochschule Fulda,Unternehmensplanspiel,"Die Studierenden sind in der Lage, selbstständig (bzw. in Teamarbeit) betriebswirtschaftliche Entscheidungen unter Berücksichtigung von deren Konsequenzen (z.B. auf Cash Flow oder Gewinn) zu treffen. [cite: 30]",K,3,gut,
152,Hochschule Fulda,Technikprojekt,"die Erstellung einfacher mechanische Konstruktionen [cite: 30]",S,,,schlecht,Fragment
153,Hochschule Fulda,Wissenschaftliches Arbeiten und Technisches Englisch,"mit wissenschaftlichen Quellen zu arbeiten [cite: 30]",K,3,akzeptabel,Infinitiv
154,Hochschule Fulda,Vektoranalysis und zusätzliche Kapitel der mehrdimensionalen,"Kurven- und Oberflächenintegrale zu berechnen [cite: 30]",K,3,akzeptabel,Infinitiv
155,Hochschule Fulda,Vektoranalysis und zusätzliche Kapitel der mehrdimensionalen,"den Zusammenhang zwischen konkreten Kurven- und Oberflächenintegralen und dem Formalismus der Differentialformen zu verstehen [cite: 30]",K,2,akzeptabel,Infinitiv
156,Hochschule Fulda,Grundlagen des wissenschaftlichen Arbeitens,"Die Studierenden erwerben Kenntnisse über die Grundlagen des sicheren Arbeitens insbesondere in Laboratorien. [cite: 30]",K,1,akzeptabel,
157,Hochschule Fulda,Principles of Scientific Research,"Die Studierenden kennen die Methoden des wissenschaftlichen Arbeitens und können diese anwenden. [cite: 30]",K,1;3,gut,
158,Hochschule Fulda,Management Basics,"Die Studierenden können wichtige Instrumente zur Bewältigung von Management-Entscheidungen anwenden. [cite: 31]",K,3,gut,
159,Hochschule Fulda,Grundlagen der Biologie und Rohstoffkunde (LT),"Die Studierenden kennen wichtige biochemische und physiologische Prozesse in pflanzlichen und tierischen Geweben. [cite: 31]",K,1,akzeptabel,
160,Hochschule Fulda,Fundamentals of Biology and Raw Materials (FT),"Die Studierenden wissen über Zusammensetzung und Qualität ausgewählter pflanzlicher und tierischer Rohstoffe Bescheid. [cite: 31]",K,1,akzeptabel,
161,Hochschule Fulda,Particle Technology and Fluid Mechanics,"Die Studierenden sind in der Lage, einfache Problemstellungen zu analysieren und notwendige Berechnungen selbst durchzuführen. [cite: 31]",K,3;4,gut,
162,Hochschule Fulda,Statistik für Wirtschaftsingenieur*innen,"Die Studierenden können statistische Software einsetzen. [cite: 31]",K,3,gut,
163,Hochschule Fulda,Praxisphase,"Die Studierenden können sich innerhalb kurzer Zeit in komplexe Aufgaben und Unternehmenskulturen einarbeiten. [cite: 31]",K,3,akzeptabel,
164,Hochschule Fulda,Food Technology I,"Dadurch können sie aufkommende Innovationen verstehen. [cite: 31]",K,2,akzeptabel,
165,Hochschule Fulda,Food Law,"Die Studierenden lernen durch die vielfältigen Themenstellungen im Lebensmittelrecht fachübergreifend zu argumentieren. [cite: 31]",K,3,gut,
166,Hochschule Fulda,Quality Management (FT),"Die Studierenden können Einsatzmöglichkeiten und Reichweite von Eigenkontrollsystemen und Q-Zertifikaten beurteilen und umsetzen [cite: 32]",K,3;5,gut,
167,Hochschule Fulda,Applied Microbiology and Industrial Hygiene,"Die Studierenden kennen wichtige mikrobielle Produktionsorganismen [cite: 32]",K,1,akzeptabel,
168,Hochschule Fulda,Fundamentals of Computer Science,"Die Studierenden können elementare Algorithmen erklären und für einfache Probleme selbst entwickeln. [cite: 32]",K,2;6,gut,
169,Hochschule Fulda,Molekularbiologie und Gentechnik,"Die Studierenden kennen klassische und moderne Methoden der Gentechnik und können sie praktisch anwenden. [cite: 32]",K,1;3,gut,
170,TH Mittelhessen,Mathematik 2,"Die Studierenden können auch kompliziertere Aspekte ingenieurtechnischer Sachverhalte mathematisch formulieren und sind in der Lage, die mathematischen Grundlagen weitergehender ingenieurtechnischer Fachdisziplinen zu verstehen. [cite: 32]",K,2;3,gut,
171,TH Mittelhessen,Technische Thermodynamik,"Die Studierenden können den eigenen Leistungsstand auf dem Gebiet der technischen Thermodynamik beurteilen [cite: 32]",K,5,gut,
172,TH Mittelhessen,Maschinenelemente 3,"Maschinensystemen zur mechanischen Antriebstechnik gestalten anhand eines Konstruktionsprojektes Getriebe entwerfen und gestalten. auf Basis von Freiformflächenmodellierungen, Parameterkurven und programmierbarer Parameterbeziehungen komplexe geometrische Modellierungen erstellen Methodenkompetenzen (fachlich & überfachlich) [cite: 33]",K,6,akzeptabel,Infinitiv/Schlechte Formatierung
173,TH Mittelhessen,Elektrotechnik Labor,"Fragestellungen der Elektrotechnik in Gruppen diskutieren [cite: 33]",K,2,akzeptabel,Infinitiv
174,TH Mittelhessen,Methoden des wissenschaftlichen Arbeitens,"Aufgaben der Wissenschaften und Wissenschaftsvokabular [cite: 33]",S,,,schlecht,Fragment
175,TH Mittelhessen,Methoden des wissenschaftlichen Arbeitens,"erlernen die Umsetzung von Aufgaben mit Präzision und Detailtreue [cite: 33]",K,3,akzeptabel,Infinitiv
176,TH Mittelhessen,Bachelor-Kolloquium,"Das Thema und das Ergebnis der Bachelorarbeit sachlich richtig darstellen [cite: 33]",K,2,akzeptabel,Infinitiv
177,TH Mittelhessen,Verbrennungsmotoren 1,"Die Studierenden können die Vereinfachungen zu realen Prozessführungen anwenden und so die Aussagen von Vergleichsprozessen auf reale VM übertragen [cite: 33]",K,3,gut,
178,TH Mittelhessen,Verbrennungsmotoren 2,"Die Studierenden können ihren Lernfortschritt reflektieren und ihr Lernverhalten ggf. (methodisch/zeitlich) anpassen [cite: 34]",K,3;5,gut,
179,TH Mittelhessen,Energie- und Strömungstechnik Labor /,"Die Studierenden können die wesentlichen Regeln zur wissenschaftlichen Dokumentation von Versuchsdurchführungen und Ergebnisdarstellungen selbstständig anwenden [cite: 34]",K,3,gut,
180,TH Mittelhessen,Energie- und Strömungstechnik Labor /,"Die Studierenden können ihren Lernfortschritt reflektieren und ihr Lernverhalten ggf. (methodisch/zeitlich) anpassen [cite: 35]",K,3;5,gut,
181,TH Mittelhessen,Mechatronische Systeme,"Die Studierenden können die Integration von Sensoren und Aktoren in unterschiedliche Systeme sowie deren angepasste Auslegung und Regelung durchführen Sozialkompetenzen keine [cite: 35]",K,3;6,gut,
182,TH Mittelhessen,Qualitätsmanagement,"Die Studierenden können die Bedeutung der Qualität im produzierenden und dienstleistenden Gewerbe sowie in den Branchenvarianten erkennen die Entstehung und Entwicklung von Verfahren zur Qualitätsverbesserung verstehen die im Rahmen des Qualitätsmanagements angewandten Normen erläutern und verstehen die Auswirkungen auf betriebliche Abläufe Methodenkompetenzen (fachlich & überfachlich) [cite: 35]",K,2,akzeptabel,Erkennen/Verstehen
183,TH Mittelhessen,Steuerungstechnik im Automobilbau /,"Die Studierenden können die prinzipielle Vorgehensweise und die Techniken zum Lösen von ingenieurmäßigen Aufgaben im Bereich der automobilen Steuerungstechnik anwenden [cite: 35]",K,3,gut,
184,TH Mittelhessen,Verbundwerkstoffe,"Die Studierenden beherrschen Studierenden erhalten dazu zunächst einen Überblick über exemplarische Faser-, Schicht-, Teilchen- und Durchdringungs-Verbundwerkstoffe sowie deren Herstellungsverfahren, Eigenschaften und Anwendungen Grundlagen des Rechts, der Normauslegung und der Rechtsanwendung [cite: 36]",K,1;3,akzeptabel,Verschachtelt
185,TH Mittelhessen,Oberflächentechnik,"Korrosionsschutz-Maßnahmen definieren und anwenden eine prozess- und anwendungsbezogene Auswahl von Beschichtungen im Hinblick auf Korrosionsund Verschleißschutz treffen [cite: 36]",K,1;3,akzeptabel,Infinitiv
186,TH Mittelhessen,Mathematik 1,"nehmen aktiv am Lernen teil, [cite: 36]",S,,,schlecht,Kein kognitives Lernziel
187,TH Mittelhessen,Mathematik 1,"Die Studierenden können eigene Wissenslücken erkennen und schließen, [cite: 36]",K,4,gut,
188,TH Mittelhessen,Physik und Labor,"nehmen aktiv am Lernen teil, [cite: 36]",S,,,schlecht,Kein kognitives Lernziel
189,TH Mittelhessen,Physik und Labor,"Die Studierenden können eigene Wissenslücken erkennen und schließen, [cite: 36]",K,4,gut,
190,TH Mittelhessen,Physik und Labor,"ihren Lernfortschritt reflektieren. 1012-2 Labor (2 CrP): [cite: 37]",K,5,akzeptabel,Infinitiv
191,TH Mittelhessen,Wissenschaftliches Arbeiten und Methodenlehre,"erstellen und präsentieren eigene wissenschaftliche Forschungsarbeiten. [cite: 37]",K,3;6,akzeptabel,Infinitiv
192,TH Mittelhessen,Statistik,"grundlegende induktive statistische Methoden auswählen und anwenden, [cite: 37]",K,3,akzeptabel,Infinitiv
193,TH Mittelhessen,Marketing,"Die Studierenden können sich in Gruppenarbeiten themenspezifisch mit ihren Kommilitonen auseinandersetzen und zielführend diskutieren, [cite: 37]",K,2;4,gut,
194,TH Mittelhessen,"Einführung ins Controlling, Investition und Finanzierung /","Die Studierenden können ihre eigenen Schwächen und Stärken reflektieren und die eigene Entwicklung planen. [cite: 37]",K,5;6,gut,
195,TH Mittelhessen,Lebenszyklusorientiertes Produktionsmanagement /,"aktuelle Trends im Produktionsmanagement benennen. [cite: 37]",K,1,akzeptabel,Infinitiv
196,TH Mittelhessen,Projekt- und Prozessmanagement – Grundlagen,"können grundlegende Methoden auf Projekte zur Geschäftsprozessgestaltung anwenden und setzen dabei geeignete Methoden (z.B. Ereignisgesteuerte Prozessketten, EPK) zur Bearbeitung ihrer fachlichen Aufgabe ein. [cite: 37]",K,3,gut,
197,TH Mittelhessen,Personalmanagement und Organisation,"verstehen die Bedeutung des Personalmanagements in einem Unternehmen, [cite: 37]",K,2,akzeptabel,Infinitiv
198,TH Mittelhessen,Technisches Englisch,"geben anhand von Kriterien anderen Studierenden Feedback zu ihrer Sprachproduktion. [cite: 38]",K,5,akzeptabel,Infinitiv
199,TH Mittelhessen,Wirtschaftsenglisch,"entwickeln in Gruppen kooperativ und effektiv Lösungen für Problemstellungen, [cite: 38]",K,6,akzeptabel,Infinitiv
200,TH Mittelhessen,Wirtschaftsenglisch,"geben anhand von Kriterien anderen Studierenden Feedback zu ihrer Sprachproduktion. [cite: 38]",K,5,akzeptabel,Infinitiv
201,TH Mittelhessen,Einführung in die chinesische Sprache und Kultur (A1) /,"Sie verstehen die Hauptaussagen von komplexen Vorlesungen/Reden/Berichten mit akademischem oder beruflichem Bezug. [cite: 38]",K,2,gut,
202,TH Mittelhessen,Einführung in die chinesische Sprache und Kultur (A1) /,"Die Studierenden entnehmen schriftlichen Quellen des eigenen Fachgebiets Informationen, Gedanken und Meinungen. [cite: 38]",K,2,gut,
203,TH Mittelhessen,Fachsprachkurs Deutsch für Studium und Beruf (ab C1),"Der Kurs richtet sich an ausländische Studierende deutschsprachiger Studiengänge aller Fachbereiche. [cite: 38]",S,,,schlecht,Organisatorisch
204,TH Mittelhessen,Kolloquium zur Bachelorarbeit,"Die Studierenden können ihre Ergebnisse in angemessener, medial unterstützter und wissenschaftlich fundierter Form zu präsentieren. [cite: 39]",K,3,gut,
205,TH Mittelhessen,Materialwissenschaften,"Die Studierenden können anwendungsbezogen Werkstoffe auswählen, [cite: 39]",K,3,gut,
206,TH Mittelhessen,Technische Mechanik 1 (TM1),"auf verschiedene Arten und Weisen z.B. zeichnerisch oder mit verschiedenen Methoden analytisch statische Probleme lösen. [cite: 40]",K,3,akzeptabel,Infinitiv
207,TH Mittelhessen,Technische Mechanik 2 (TM2),"Berechnungen innerhalb bestimmter Beanspruchungsformen anstellen, [cite: 40]",K,3,akzeptabel,Infinitiv
208,TH Mittelhessen,Technische Mechanik 2 (TM2),"Die Studierenden können das Erlernte wiedergeben, so dass Sie im späteren Berufsleben die angewendeten Methoden auch erklären können, [cite: 40]",K,1;2,gut,
209,TH Mittelhessen,Elektrotechnik,"vertiefen in Gruppenübungen das Arbeiten im Team mit den zugehörigen Kommunikationsprozessen, [cite: 40]",K,3,akzeptabel,Infinitiv
210,TH Mittelhessen,Technische Thermodynamik,"simulieren technische Vorgänge durch Anwendung der Beziehungen und Methoden der Thermodynamik. [cite: 40]",K,3,akzeptabel,Infinitiv
211,TH Mittelhessen,Einführung in die Elektrotechnik 1,"Die Studierenden können eigene Wissenslücken erkennen und schließen, [cite: 40]",K,4,gut,
212,TH Mittelhessen,Informatik 2,"verwenden verkettete Listen zur Speicherung von Daten, typedef und enum, [cite: 40]",K,3,akzeptabel,Infinitiv
213,TH Mittelhessen,Elektrotechnik Labor,"können die zugehörigen Mess- und Analysemethoden anwenden, [cite: 40]",K,3,akzeptabel,Infinitiv
214,TH Mittelhessen,Life Cycle Management 1,"Die Vor- und Nachbereitung des Vorlesungsstoffes sowie das Bearbeiten von Übungen sind dabei Teile des Selbststudiums der eigenständig gestaltet werden kann, [cite: 41]",S,,,schlecht,Organisatorisch
215,TH Mittelhessen,Technische Mechanik 2 (TM2),"Die Studierenden können mittels verschiedener Methoden mögliche Versagensursachen von Bauteilen kritisch hinterfragen und deuten, [cite: 41]",K,4;5,gut,
216,TH Mittelhessen,Life Cycle Management 2,"ihren Lernprozess eigenständig planen und umsetzen. [cite: 41]",K,3;6,akzeptabel,Infinitiv
217,TH Mittelhessen,Corporate Social Responsibility,"Methoden zur Analyse und Bewertung von CSR- und Nachhaltigkeitsberichten darstellen, auf konkrete Praxisfälle anwenden und die Ergebnisse kritisch reflektieren. [cite: 41]",K,2;3;5,akzeptabel,Infinitiv
218,TH Mittelhessen,Fabikplanung,"Arbeitsplätze auf Ergonomie untersuchen, [cite: 41]",K,4,akzeptabel,Infinitiv
219,TH Mittelhessen,Werkzeugmaschinen inkl. Labor,"unterscheiden die wesentlichen Verfahren zur Ermittlung der Herstell- und Arbeitsgenauigkeit, [cite: 42]",K,4,akzeptabel,Infinitiv
220,TH Mittelhessen,Werkzeugmaschinen inkl. Labor,"Laborpraktika an Werkzeugmaschinen bzw. Komponenten unter Anleitung durchführen, [cite: 43]",K,3,akzeptabel,Infinitiv
221,TH Mittelhessen,"Mess-, Steuer- Regeltechnik","Die Studierenden können regelungstechnische Aufgaben mit Hilfe von Software simulieren, [cite: 43]",K,3,gut,
222,TH Mittelhessen,"Mess-, Steuer- Regeltechnik","DDC-Systemen zum Einsatz in der Gebäudetechnik und Industrie aufbauen und programmieren. [cite: 43]",K,3;6,akzeptabel,Infinitiv
223,TH Mittelhessen,Energietechnik,"berechnen das Zustandsverhalten von feuchter Luft z.B. in den Komponenten von Klimaanlagen. [cite: 44]",K,3,akzeptabel,Infinitiv
224,TH Mittelhessen,Maschinendesign,"in einer Gruppe kooperativ arbeiten und ihre eigenen Standpunkte argumentativ zu verteidigen, [cite: 44]",K,3;5,akzeptabel,Infinitiv
225,TH Mittelhessen,Innovative Fertigungsprozesse,"sollen dabei die Fähigkeit erlangen, die Möglichkeiten neuer Strategien in der Produktion einzuschätzen und umzusetzen, [cite: 44]",K,3;5,akzeptabel,Infinitiv
226,TH Mittelhessen,Innovative Fertigungsprozesse,"Die Studierenden können innovative Verfahren finden und für ihr Unternehmen gewinnbringend einsetzen. [cite: 44]",K,3,gut,
227,TH Mittelhessen,1281-2,"Aufbau und Funktionsweise elektrischer Standardmaschinen darstellen, [cite: 44]",K,2,akzeptabel,Infinitiv
228,TH Mittelhessen,Grundlagen der Elektroinstallationstechnik,"technischer Richtlinien verstehen und planen, [cite: 44]",K,2;6,akzeptabel,Infinitiv
229,TH Mittelhessen,Grundlagen der Elektroinstallationstechnik,"kennen die relevanten Richtlinien für eine Elektroinstallation. [cite: 44]",K,1,akzeptabel,Fehlendes Subjekt
230,TH Mittelhessen,Elektropneumatik in der Automatisierungstechnik,"können automatisierte Prozesse energieeffizient gestalten, [cite: 44]",K,6,akzeptabel,Fehlendes Subjekt
231,TH Mittelhessen,Rechnernetzwerktechnik Grundlagen,"Einfacvhe LAN-Topologien mit Routern und Switchern aufbauen und grundlegend konfigurieren, [cite: 44]",K,3,akzeptabel,Infinitiv
232,TH Mittelhessen,Nachhaltiges Wertschöpfungskettenmanagement,"die Strategien auf die taktische und operative Ebene der Supply Chain übersetzen, [cite: 44]",K,3,akzeptabel,Infinitiv
233,TH Mittelhessen,Nachhaltiges Wertschöpfungskettenmanagement,"die Anwendung der vermittelten Methoden und Konzepte auf ausgewählte Fallbeispiele transferieren, [cite: 45]",K,3,akzeptabel,Infinitiv
234,TH Mittelhessen,XLab – Lernfabrik,"andere für eine eigene Sache mobilisieren und die Interessen der Gemeinschaft wahren. [cite: 45]",K,3,akzeptabel,Infinitiv
235,TH Mittelhessen,Nachhaltiges Ressourcenmanagement /,"die Relevanz und wichtige Anwendungsfelder von Ressourcenmanagement für Organisationen (inkl. Unternehmen) erkennen, [cite: 46]",K,4,akzeptabel,Infinitiv
236,TH Mittelhessen,Nachhaltiges Ressourcenmanagement /,"Maßnahmen zur Einsparung von Ressourcen und Ressourceneffizienzsteigerung planen, [cite: 46]",K,6,akzeptabel,Infinitiv
237,TH Mittelhessen,Nachhaltiges Ressourcenmanagement /,"Methoden und Konzepte des nachhaltigen Ressourcenmanagements praxisorientiert anwenden, [cite: 46]",K,3,akzeptabel,Infinitiv
238,TH Mittelhessen,Produktinnovation,"Methoden, um in den einzelnen Phasen zielgerichtete Entscheidungen vorbereiten zu können, [cite: 46]",S,,,schlecht,Fragment
239,TH Mittelhessen,Produktinnovation,"auf Kritik reagieren und diese positiv nutzen, um zukünftig noch bessere Entscheidungen treffen zu können, [cite: 46]",K,3;5,akzeptabel,Infinitiv
240,TH Mittelhessen,Logistische Spezialprobleme,"Transport- und Zuordnungsprobleme, Lagerhaltungsmodelle sowie die Methoden der Routen- und Tourenplanung in die logistischen Kernfunktionen und das Operations Research einordnen, [cite: 46]",K,4,akzeptabel,Infinitiv
241,TH Mittelhessen,Logistische Spezialprobleme,"Die Studierenden können die Anwendung der vermittelten Methoden an eigens ausgewählten Beispielen demonstrieren. [cite: 46]",K,3,gut,
242,TH Mittelhessen,Anwendungsbezogenes Operations Research,"spieltheoretische Konzepte erklären, vergleichen und beurteilen, [cite: 46]",K,2;4;5,akzeptabel,Infinitiv
243,TH Mittelhessen,Elektrotechnik,"Die Studierenden können das Verhalten grundlegender Bauteile und Verfahren der Elektrotechnik erklären, [cite: 47]",K,2,gut,
244,TH Mittelhessen,Informatik,"ihren Lernfortschritt reflektieren. [cite: 47]",K,5,akzeptabel,Infinitiv
245,TH Mittelhessen,Energietechnik,"in Gruppen kooperativ und effektiv Lösungen für Problemstellungen entwickeln, [cite: 47]",K,6,akzeptabel,Infinitiv
246,TH Mittelhessen,Energietechnik,"ihre persönlichen Ressourcen reflektieren und Ziele für die eigene Entwicklung definieren, [cite: 47]",K,1;5,akzeptabel,Infinitiv
247,Universität Kassel,Erziehungswissenschaftliche und psychologische Grundlagen der,"Die Studierenden kennen Geschichte, Begriffe und Ansätze pädagogischen Denkens und ihre Relevanz in unterschiedlichen Handlungsfeldern. [cite: 47]",K,1,gut,
248,Universität Kassel,Empirische Zugänge zu Praxisfeldern der Sozialen Arbeit I,"Die Studierenden verfügen über Kenntnisse in einer breiten Spanne unterschiedlicher empirischer Forschungsansätze und den dazugehörenden qualitativen sowie quantitativen Forschungsmethoden und -methodologien. [cite: 47]",K,1,gut,
249,Universität Kassel,"Professionalität, Handlungskonzepte und -methoden der Sozialen Arbeit II: Vertiefung der Grundlagen","Auf Modul 7.1 aufbauend haben die Studierenden in den unterschiedlichen Seminaren breite handlungsmethodische Grundlagen über diverse Kontexte und Settings der Sozialen Arbeit erworben. [cite: 48]",I,,,schlecht,Retrospektive Inhaltsbeschreibung
250,Universität Kassel,Arbeitsfelder der Sozialen Arbeit,"Option A: Schwerpunkt „Konzeptionelle Grundlagen sozialer Interventionen“ in den Feldern Sozialer Arbeit [cite: 48]",S,,,schlecht,Organisatorisch
251,Universität Kassel,Berufspraktische Studien,"orientieren sich am Qualifikationsrahmen Soziale Arbeit des Fachbereichstages und an den Qualifikationszielen der Bundesarbeitsgemeinschaft der Praxisämter /-referate an Hochschulen für Soziale Arbeit in der Bundesrepublik Deutschland (BAG). [cite: 48]",S,,,schlecht,Fragment
252,TU Darmstadt,"Automaten, formale Sprachen und Entscheidbarkeit","Die Studierenden lernen elementare Techniken und Methoden der diskreten Mathematik im Umfeld von formalen Sprachen und Automaten kennen und anzuwenden; sie lernen, endliche Automaten als Beispiel eines fundamentalen Berechnungsmodells operational und semantisch zu interpretieren und zu analysieren. [cite: 49]",K,1;3;4,gut,
253,TU Darmstadt,"Automaten, formale Sprachen und Entscheidbarkeit","Sie verfügen über die notwendigen Grundkenntnisse, Grammatiken und formale Sprachen im Rahmen der Chomsky-Hierarchie und zugehöriger Berechnungsmodelle einzuordnen und zu analysieren. [cite: 49]",K,1;4,gut,
254,TU Darmstadt,Formale Methoden im Softwareentwurf,"Modellprüfung gegen in temporaler Aussagenlogik spezifierte Eigenschaften 2. [cite: 49]",S,,,schlecht,Fragment
255,TU Darmstadt,Foundations of Language Technology,"deren Möglichkeiten und Grenzen kritisch beurteilen. [cite: 49]",K,5,akzeptabel,Infinitiv
256,TU Darmstadt,Lernende Roboter,"Sie können maschinelle Lernverfahren anwenden um einen Roboter zu befähigen, neue Aufgaben zu erlernen. [cite: 49]",K,3,gut,
257,TU Darmstadt,Tiefe Generative Modelle,"wissenschaftliche Veröffentlichungen zum Thema DGMs kritisch hinterfragen und damit fachlich beurteilen [cite: 49]",K,5,akzeptabel,Infinitiv
258,TU Darmstadt,Ethik in Natürlicher Sprachverarbeitung,"Nachdem Studierende die Veranstaltung abgeschlossen haben, können sie [cite: 50]",S,,,schlecht,Einleitungssatz
259,TU Darmstadt,Bioinformatik (Vorlesung und Übung),"Die Studenten erwerben Grundlagenwissen in der sequenz-basierten Bioinformatik (Sequence Alignment, Scoring Schemes, Datenbanken, Pattern Recognition) und der Strukturmodellierung und Simulation (Structure Prediction, Molecular Dynamics). [cite: 50]",K,1,gut,
260,TU Darmstadt,Public Key Infrastrukturen,"die Grundlagen von Public Key Infrastrukturen, insbesondere die verschiedenen Komponenten (bspw. private Schlüssel, Zertifikate, Policies), Akteure (bspw. [cite: 51]",S,,,schlecht,Abgebrochen
261,TU Darmstadt,Einführung in die Kryptographie,"Verstehen der mathematischen Grundlagen der Kryptographie wie z.B. Berechnungen in Kongruenz- und Restklassenringen, Faktorisierung großer Zahlen, Wahrscheinlichkeit und Perfekte Sicherheit [cite: 51]",S,,,schlecht,Substantivierung
262,TU Darmstadt,Einführung in die Kryptographie,"Verstehen der Prinzipien von Public und Secret-Key-Verschlüsselung und der relevanten Verfahren einschließlich ihrer Sicherheit und Effizienz [cite: 51]",S,,,schlecht,Substantivierung
263,TU Darmstadt,Sicherheit in Multimedia Systemen und Anwendungen,"Dazu gehören die Konzepte der Medien-Integrität, -Vertraulichkeit und -Authentizität. [cite: 51]",I,,,schlecht,Inhaltsbeschreibung
264,TU Darmstadt,Physical Layer Security in Drahtlosen Systemen,"Sie können sich aktuelle Arbeiten zum Stand der Forschung zu Physical Layer Security selbstständig aneignen und das erarbeitete Wissen verständlich vermitteln. [cite: 51]",K,2;3,gut,
265,TU Darmstadt,Advanced Data Management Systems,"Die Studierenden können Vor- und Nachteile dieser Techniken mit dem Fokus auf möglichen Verbesserungen diskutieren. [cite: 52]",K,2;5,gut,
266,TU Darmstadt,Advanced Data Management Systems,"Sie können einzelne Techniken implementieren und experimentelle Evaluierungen dieser Techniken zum Vergleich von Designalternativen durchführen. [cite: 52]",K,3;5,gut,
267,TU Darmstadt,Graphische Datenverarbeitung II,"Dazu gehören mathematisch polynomiale Repräsentationen, Iso-oberflächen, volumen Darstellungen, implizite Oberflächen, Polygonnetze, Subdivision-Kontrollnetze und Punktwolken. [cite: 52]",I,,,schlecht,Inhaltsbeschreibung
268,TU Darmstadt,Programmierung Massiv-Paralleler Prozessoren,"Sie können selbständig neue Anwendungen entwickeln und ihre Performanz systematisch verbessern. [cite: 52]",K,3;6,gut,
269,TU Darmstadt,TK2: Human Computer Interaction,"Evaluationstechniken kennen gelernt und angewandt [cite: 52]",K,1;3,akzeptabel,Infinitiv/Fragment
270,TU Darmstadt,Effiziente Graphenalgorithmen,"beherrschen sie Methoden, um spezielle Eigenschaften (Planarität, Dünnbesetztheit) auszunutzen [cite: 52]",K,3,akzeptabel,Fragment
271,TU Darmstadt,Statische und dynamische Programmanalyse,"Sie können Programmanalysen bezüglich ihrer Präzision und Korrektheit beurteilen. [cite: 52]",K,5,gut,
272,TU Darmstadt,Einführung in das Quantencomputing,"Nach Abschluss des Kurses sind die Studierenden mit allen grundlegenden Konzepten der Quanteninformationsverarbeitung und -berechnung vertraut und können diese mit der Quantenprogrammiersprache Qiskit programmieren. [cite: 53]",K,1;3,gut,
