studiengang,hochschule,modul_id,modulname,satz_nr,satz,typ,taxonomie,qualitaet,konfidenz
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5109,Distributed Applications,1,Die Studierenden benennen Standard-Plattformen für verteilte Softwaresysteme insb.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5109,Distributed Applications,2,Verteilte Webanwendungen.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5109,Distributed Applications,3,"Die Studierenden benennen grundlegende Anwendungsarchitekturen und analysieren die Anforderungen komplexer verteilter Systeme und die damit verbundene Rolle von Ansätzen wie z.B. Middleware, Microservices, SOA und EAI.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5109,Distributed Applications,4,"Die Studierenden realisieren fachgerecht eigenständige verteilte Anwendungen unter Verwendung verschiedener Techniken und Programmiersprachen, insb. zur serverseitigen Entwicklung.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5031,Machine Learning,1,Die Studierenden schildern die mathematischen und konzeptuellen Grundlagen der statistischen Theorie des Lernens.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5031,Machine Learning,2,Die Studierenden beschreiben mehrere gängige Lernalgorithmen und setzen diese in der Praxis (anhand geeigneter Standardbibliotheken) ein.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5031,Machine Learning,3,"Die Studierenden benennen die Herausforderungen, welche sich in der Praxis der Objekt-und Mustererkennung ergeben, erläutern die wichtigsten Lösungsansätze und wenden diese Ansätze zur Lösung gegebener Aufgabenstellungen an.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5031,Machine Learning,4,Die Studierenden verstehen aktuelle wissenschaftliche Entwicklungen und Anwendungen im Bereich des Deep Learning.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5085,Parallel Programming,1,"Die Studierenden benennen die Techniken zur Programmierung paralleler Abläufe auf Multicore- / Multiprozessorsystemen sowie in heterogenen, verteilten Systemen.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5085,Parallel Programming,2,Die Studierenden erarbeiten selbstständig Lösungen für vorgegebene Problemstellungen.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5085,Parallel Programming,3,Die Studierenden implementieren Anwendungen in der Programmiersprache C unter Linux. entwickeln parallele Programme mit OpenMP und MPI.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5086,Test Oriented Development,1,Die Studierenden definieren und unterscheiden Fachbegriffe der Test-orientierten Entwicklung nach internationalen Standards.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5086,Test Oriented Development,2,"Die Studierenden benutzen fachgerecht die behandelten Testfallentwicklungs- und Testmanagement-Konzepte, erkennen diese in gegebenen Beispielen und können darin fehlerhafte Anwendungen analysieren und benennen.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5086,Test Oriented Development,3,"Die Studierenden analysieren gegebene Problemstellungen der Softwarequalität auf im Softwarelebenszyklus relevante Bestandteile, leiten daraus Lösungen ab und setzen diese als Teststrategie um.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5086,Test Oriented Development,4,Die Studierenden erklären die Funktionsweise ihrer eigenen Lösungen und argumentieren dabei die zugrundeliegenden Entscheidungen bei alternativen Lösungswegen.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5086,Test Oriented Development,5,"Die Studierenden erstellen in Gruppen Lösungen zu gegebenen Problemstellungen, bringen sich aktiv in die Lösungsentwicklung ein und strukturieren die kollaborative Zusammenarbeit selbst.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5163,3D Bildverarbeitung für mobile Roboter,1,Die Studierenden berechnen aus den Daten einer oder mehrerer Kameras dreidimensionale Daten zur Steuerung mobiler Roboter.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5163,3D Bildverarbeitung für mobile Roboter,2,"Die Studierenden kalibrieren Kameras mittels OpenCV, entzerren die aufgenommenen Bilder und verarbeiten sie weiter.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5163,3D Bildverarbeitung für mobile Roboter,3,Die Studierenden erklären die mathematischen Grundlagen des Lochkameramodells und benennen weitere Modelle und deren Modelparameter.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5163,3D Bildverarbeitung für mobile Roboter,4,Die Studierenden erzeugen durch die Anwendung von einfachen Kantenfiltern und Liniendetektoren Steuersignale für mobile Roboter in Echtzeit und realisieren dadurch einfache Line- und Lane-Following-Algorithmen in ROS.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5163,3D Bildverarbeitung für mobile Roboter,5,Die Studierenden beschreiben die grundlegenden geometrischen Modelle von Stereo-Systemen und die daraus resultierenden Limitierungen bzgl.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5163,3D Bildverarbeitung für mobile Roboter,6,Tiefenauflösung und Punktdichte.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5163,3D Bildverarbeitung für mobile Roboter,7,Sie verwenden diese Modelle zur Berechnung von 3D-Informationen.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5163,3D Bildverarbeitung für mobile Roboter,8,Die Studierenden bauen ein Stereosystem selbstständig auf und beurteilen dessen Leistung.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5163,3D Bildverarbeitung für mobile Roboter,9,"Die Studierenden berechnen mit Hilfe von Visual-SLAM-Algorithmen 3D-Karten aus Kameradaten und nutzen diese, um mobile Roboter zu lokalisieren.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5122,Advanced Big Data,1,die inhärenten Restriktionen etablierter relationaler Datenbanksysteme zu illustrieren.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5122,Advanced Big Data,2,darüberhinausgehende Anwendungen und Use Cases an einzelnen Beispielen genauer zu bearbeiten und architektonische Ansätze aus den Big Data Use Cases abzuleiten.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5122,Advanced Big Data,3,die grundlegenden Komponenten des erweiterten Hadoop Ecosystem hands-on zu unterscheiden und anzuwenden.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5122,Advanced Big Data,4,Big Data / noSQL Use Cases im erweiterten Hadoop Ecosystem zu beurteilen und zu evaluieren.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5122,Advanced Big Data,5,die Herausforderungen der Administration von Big Data Lösungen im erweiterten Ecosystem anzugeben.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5122,Advanced Big Data,6,insbesondere neuere und weitere Ansätze im Bereich Big Data zu werten und klassifizieren.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5037,Agentenbasierte Modellierung und Simulation,1,Die Studierenden haben einen Einblick in das Themenfeld der agentenbasierten Modellbildung und Simulation.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5037,Agentenbasierte Modellierung und Simulation,2,"Die Studierenden erstellen agentenbasierte Modelle , führen Simulationsexperimente durch und analysieren die entstehenden Ergebnisse.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5037,Agentenbasierte Modellierung und Simulation,3,"Dies umfasst die Replikation bestehender Modelle als auch die Erstellung, Validierung und Verifikation neuer Modelle.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5037,Agentenbasierte Modellierung und Simulation,4,"Die Studierenden zählen aktuelle Erkenntnisse aus der Wissenschaft auf, schätzen deren Bedeutung ein und knüpfen mit einem eigenen Beitrag daran an.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5037,Agentenbasierte Modellierung und Simulation,5,Dies schließt insbesondere die Auswahl und die Bewertung geeigneter Literatur sowie die schriftliche Zusammenfassung und Präsentation der Ergebnisse mit ein.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI6001,Aktuelles Thema der Angewandten Informatik (Master),1,Die Studierenden diskutieren vertiefend zentrale Inhalte aktueller wissenschaftlicher und praxisnaher Problemstellungen der Angewandten Informatik.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI6001,Aktuelles Thema der Angewandten Informatik (Master),2,Die Studierenden vergleichen und bewerten aktuelle wissenschaftliche Veröffentlichungen beziehungsweise Entwicklungen in der Industrie im Bezug zur fokussierten Problemstellung.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI6001,Aktuelles Thema der Angewandten Informatik (Master),3,Die Studierenden wenden die gewonnenen Erkenntnisse im Rahmen von praktischen Aufgaben passend zum aktuellen (Teil-)problem fachgerecht an.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5038,Advanced Multimedia Communications,1,Die Studierenden benennen die technischen Grundlagen für die Realisierung fortgeschrittener Echtzeitkommunikation über IP- und Web-Dienste.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5038,Advanced Multimedia Communications,2,Die Studierenden benennen die Anforderungen und Herausforderungen für multimediale Kommunikation über aktuelle und zukünftige Netzinfrastrukturen und können diese fachgerecht umsetzen.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5038,Advanced Multimedia Communications,3,Die Studierenden realisieren basierend auf dem aktuellen Stand von Forschung und Technik eigene multimediale Dienste im Team und tragen zu deren Weiterentwicklung bei.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5038,Advanced Multimedia Communications,4,Die Studierenden analysieren Echtzeit-Kommunikationsdienste über das Internet neben deren Leistungsfähigkeit auch auf die Aspekte der Sicherheit.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5038,Advanced Multimedia Communications,5,Die Studierenden präsentieren und dokumentieren die eigenständig entwickelten Echtzeit-Kommunikationsdienste und diskutieren deren Bezug zum aktuellen Stand von Forschung und Technik.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5104,Angewandte Designtheorie,1,"Die Studierenden beschreiben differenziert wichtige Inhalte (Texte, Schriften, Bücher) und theoretische Hintergründe zu ausgesuchten Themenbereichen der Designtheorie.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5104,Angewandte Designtheorie,2,"Ein Schwerpunkt sind Ansätze, die sich interdisziplinär auf Design, mit Bezug zu informationstechnischen Fragestellungen, beziehen.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5104,Angewandte Designtheorie,3,Die Studierenden unterscheiden und analysieren unterschiedliche Perspektiven und Konzepte und vertreten Auseinandersetzungen in Wort und Schrift.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5104,Angewandte Designtheorie,4,"Die Studierenden arbeiten wissenschaftlich mit Texten, diskutieren diese und erstellen eigene Texte.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5104,Angewandte Designtheorie,5,Dieser Kompetenzerwerb dient im Hinblick auf die Masterarbeit und der wissenschaftlichen Diskussion.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5104,Angewandte Designtheorie,6,Die Studierenden überführen in Praktika exemplarisch Elemente aus der Theorie in die Design-Praxis .,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5104,Angewandte Designtheorie,7,Die Studierenden wenden die erworbenen Kenntnisse in der Gestaltung bzw. Programmierung einer eigenen kreativen Arbeit an.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5030,Businessanwendungen,1,Die Studierenden beschreiben typische Anwendungsarchitekturen moderner Unternehmen.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5030,Businessanwendungen,2,"Die Studierenden stellen dar, welche Rolle Unternehmensanwendungen in verschiedenen Industrien besitzen, wie Geschäftsprozesse in diesen Anwendungen abgebildet werden können und wie Systemlandschaften zur Abbildung dieser Prozesse strukturiert sind.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5030,Businessanwendungen,3,Die Studierenden bilden ausgewählte Geschäftsprozesse in Anwendungssystemen ab und bewerten diese kritisch.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5030,Businessanwendungen,4,"Die Studierenden verstehen die wichtigsten architektonischen Aspekte der verschiedenen Anwendungssysteme und können diese kritisch beurteilen – auch neuerer Konzepte, wie “in Memory DBs”.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5030,Businessanwendungen,5,"Die Studierenden erläutern die Auswirkung aktueller DB-Technologien, wie “in-Memory-DB“ und können diese anhand von Beispielen nachvollziehen/implementieren (je nach Verfügbarkeit entsprechender Systeme).",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5030,Businessanwendungen,6,Die Studierenden benennen verschiedene Arten der kundenspezifischen Erweiterung.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5030,Businessanwendungen,7,Die Studierenden implementieren ausgewählte Arten der Erweiterung und bewerten die Implementierung kritisch – die Auswahl richtet sich nach Verfügbarkeit von System und auch Interesse der jeweiligen Kohorte.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5170,Data Visualization,1,Die Studierenden erstellen Visualisierungen vorhandener Daten auf verständliche Weise anhand gegebener Kriterien unter Berücksichtigung der Wahrnehmungstheorien.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5170,Data Visualization,2,Die Studierenden wählen die passenden Visualisierungsformen auf Basis des Daten- und Informationsdesigns für gegebene Daten aus und begründen diese in eigenen Worten.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5170,Data Visualization,3,Die Studierenden setzen vorhandene Datenvisualisierungs-Tools zur Umsetzung eines Visualisierungskonzeptes fachgerecht und effizient ein.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5170,Data Visualization,4,"Die Studierenden erstellen interaktive Visualisierungen, so dass für verschiedene gegebene Informationsbedürfnisse die Visualisierung beeinflusst werden kann.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5121,Datenanalyse in Businessanwendungen,1,"Die Studierenden benennen konkrete Methoden der Datenanalyse sowie allgemein quantitative Methoden innerhalb von Business-Anwendungen; in erster Linie die analytischen Anteile von vertikal integrierten Business-Anwendungen, wie Supply-Chain-Management-Anwendungen sowie Customer-RelationshipAnwendungen.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5121,Datenanalyse in Businessanwendungen,2,"Die Studierenden verstehen Algorithmen zur Datenanalyse aus dem Bereich des SCM und CRM und setzen sie in Business-Anwendungen um, sie beurteilen deren Auswirkung auf die operativen Komponenten der Anwendungssysteme; im Falle der Datenanalyse sind dies in erster Linie Algorithmen zur Zeitreihenanalyse mit verschiedensten Modellen, Algorithmen zur Korrelationsanalyse im SCM bzw. der Analyse von Kundensedimenten, Kundengruppen sowie Kundenverhalten im Falle des CRM.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5121,Datenanalyse in Businessanwendungen,3,"Die Studierenden erläutern die Ergebnisse einer modellgetriebenen Arbeitsweise, die auf quantitativen Modellen basiert, setzen diese um und beurteilen deren Bezug zur operativen betrieblichen Anwendung.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5121,Datenanalyse in Businessanwendungen,4,Dies beinhaltet auch ein Verständnis der zugrundeliegenden Algorithmen sowie der Auswirkung der verschiedenen Parametrisierungen des Modells – insbesondere im Fall einer Supply-Netz sowie Transportoptimierung.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5121,Datenanalyse in Businessanwendungen,5,Die Studierenden leiten spezielle Fragestellungen des SCM/CRM in diesem Zusammenhang durch Literaturrecherchen neuerer Forschungsbeiträge her.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5171,Fortgeschrittenes Wissenschaftliches Arbeiten,1,Die Studierenden benennen den Prozess von der Bearbeitung einer wissenschaftlichen Problemstellung bis zur Publikation,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5171,Fortgeschrittenes Wissenschaftliches Arbeiten,2,Die Studierenden wenden verschiedene Methoden zur Aufbereitung und Darstellung von Daten an,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5171,Fortgeschrittenes Wissenschaftliches Arbeiten,3,Die Studierenden benennen den Aufbau von wissenschaftlichen Arbeiten,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5171,Fortgeschrittenes Wissenschaftliches Arbeiten,4,Die Studierenden führen Literaturrecherchen durch und beurteilen Literaturstellen,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5171,Fortgeschrittenes Wissenschaftliches Arbeiten,5,Die Studierenden erstellen wissenschaftliche Arbeiten,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5171,Fortgeschrittenes Wissenschaftliches Arbeiten,6,Die Studierenden skizzieren den Ablauf von Peer-Review Prozessen,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5171,Fortgeschrittenes Wissenschaftliches Arbeiten,7,Die Studierenden erstellen wissenschaftliche Gutachten,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5171,Fortgeschrittenes Wissenschaftliches Arbeiten,8,Die Studierenden führen Präsentationen durch,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5171,Fortgeschrittenes Wissenschaftliches Arbeiten,9,Die Studierenden erklären Methoden der Teamarbeit,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5032,Preparation and Analysis of Data,1,Die Studierenden grenzen Probleme und Methoden aus dem Bereich der Vorbereitung und Analyse von Daten voneinander ab.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5032,Preparation and Analysis of Data,2,Die Studierenden wenden die grundlegenden theoretischen Erkenntnisse praktisch an.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5032,Preparation and Analysis of Data,3,Dazu gehört die Auswahl und praktische Anwendung sinnvoller Methoden.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5032,Preparation and Analysis of Data,4,"Die Studierenden geben verschiedene, aktuelle Anwendungsbeispiele in unterschiedlichen Anwendungsdomänen wieder.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5032,Preparation and Analysis of Data,5,Die Studierenden wenden neue wissenschaftliche Erkenntnisse selbständig in einem praktischen Kontext an.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5032,Preparation and Analysis of Data,6,Dies schließt insbesondere die Auswahl und Bewertung geeigneter Literatur sowie die Präsentation der Ergebnisse mit ein.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5158,Process Mining,1,Die Studierenden erläutern die Notwendigkeit des Prozess-Minings und können dessen Teilgebiete einordnen.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5158,Process Mining,2,"Die Studierenden erläutern die Architektur eines Prozess-Mining Systems, eingebettet in die Landschaft von Anwendungssystemen sowie die Anwendung des Minings zur Generierung von Prozessmodellen sowie zur Konformitätsprüfung der aktiven Geschäftsprozesse.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5158,Process Mining,3,"Die Studierenden erläutern die wichtigsten Konzepte von Geschäftsprozessmodellen, soweit sie für die durch das Mining erzeugten Prozessmodelle relevant sind, speziell Petri-Netze und BPMN",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5158,Process Mining,4,"Die Studierenden implementieren Modelle in BPMN und Petri-Netzen und beherrschen die wichtigsten Methoden (Inzidenzmatrix, Invarianten, Zustandsgraphen)",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5158,Process Mining,5,Die Studierenden unterscheiden verschiedene Prozess-Mining Algorithmen und beschreiben deren Unterschiede - insbesondere auch auf deren Fähigkeit/ Einschränkungen die Prozessmodelle zu erzeugen,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5158,Process Mining,6,Die Studierenden benennen verschiedene Verfahren zur Prüfung der Konformität der Prozesse,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5158,Process Mining,7,sie bewerten ihre Einschränkungen und führen diese anhand konkreter Beispiele durch,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5158,Process Mining,8,grenzen das Prozess-Mining zu Data-Mining/ und BI sowie zum Geschäftsprozessmanagement ab.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5100,Reconfigurable Computing,1,"Die Studierenden analysieren rechenintensive Anwendungen hinsichtlich ihrer Parallelisierung und Beschleunigung auf rekonfigurierbaren Rechensystemen, sowohl in eingebetteten Systemen als auch im Data Center.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5100,Reconfigurable Computing,2,Die Studierenden beurteilen den Aufbau und die Einschränkungen klassischer Rechensysteme Computer.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5100,Reconfigurable Computing,3,Die Studierenden bewerten den Aufbau heterogener rekonfigurierbarer Rechensysteme mit CPU und FPGA Anteilen.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5100,Reconfigurable Computing,4,Die Studierenden wenden Algorithmen der High-Level Synthese (HLS) und des Hardware/Software-Codedesigns an.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5100,Reconfigurable Computing,5,"Die Studierenden analysieren ein gegebenes Problem, um dieses in Hardware- und Software-Anteile zu zerlegen.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5100,Reconfigurable Computing,6,Die Studierenden entwerfen einfache Anwendungen für rekonfigurierbare Rechensysteme mittels HLS.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5100,Reconfigurable Computing,7,Die Studierenden implementieren die Kommunikationsschnittstellen zwischen Hard- und Software.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5100,Reconfigurable Computing,8,Die Studierenden analysieren den Entwurfsraum der HLS um gegebene Zielvorgaben zu erfüllen.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5172,Semantische Umgebungsmodellierung,1,Die Studierenden beschreiben die Grundlagen zur semantischen Modellierung von 3D-Umgebungsdaten im Kontext der mobilen Robotik.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5172,Semantische Umgebungsmodellierung,2,Die Studierenden benennen die Grundlagen der Prädikatenlogik sowie Beschreibungslogiken und die etablierten Standards OWL-DL und SWRL.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5172,Semantische Umgebungsmodellierung,3,Die Studierenden schreiben einfache Anwendungen unter Verwendung der Programmiersprache Prolog.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5172,Semantische Umgebungsmodellierung,4,Die Studierenden bedienen verschiedene Tools zur semantischen Modellierung und Schlussfolgerung,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5172,Semantische Umgebungsmodellierung,5,Die Studierenden verwalten dreidimensionale semantische Modelle in räumlichen Datenbanken wie PostGIS und machen diese über bestehende Interfaces zu Roboterkontrollarchitekturen auf mobilen Robotern verfügbar.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5172,Semantische Umgebungsmodellierung,6,"Die Studierenden überwachen in Kombination mit Stream-Processing-Engines, wie Apache Flink, Datenströme der Sensoren von mobilen Robotern auf das Auftreten definierter Events und verknüpfen diese mit einem semantischen Umgebungsmodell.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,1,Die Studierenden benennen die wesentlichen Charakteristika eines Daten Streams sowie verschiedene Verarbeitungsparadigmen wie Batch- und Stream Processing.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,2,Die Studierenden schildern die Unterschiede zwischen begrenzten und unbegrenzten Daten Streams.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,3,Die Studierenden zerlegen unbegrenzte Daten Streams mithilfe von Windowing in begrenzte Data Streams.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,4,Die Studierenden verarbeiten Daten Streams mithilfe gängiger Frameworks.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,5,Die Studierenden unterscheiden zwischen Processing-time und Event-time und verarbeiten out-of-order und late-arriving Daten robust.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,6,Die Studierenden verarbeiten Streaming-Daten nach definierten Anforderungen unter Einsatz von den verschiedenen Typen von Streaming Joins.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,7,Die Studierenden bezeichnen die Herausforderungen und Möglichkeiten von Data Stream Analytics und Online Machine Learning.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,8,Die Studierenden fassen die wesentlichen Charakteristika von Data Sketches zusammen.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,9,Die Studierenden erklären ausgewählte Data Sketches und,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,10,Die Studierenden setzen diese für praktische Probleme ein.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,11,Die Studierenden erklären ausgewählte Online Machine Learning Verfahren und,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,12,Die Studierenden setzen diese für praktische Probleme ein.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,13,Die Studierenden bewerten den aktuellen Stand der Forschung im Bereich Stream Processing und Analytics und,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5174,Stream Processing and Analytics,14,Die Studierenden wirken aktiv an der angewandten Forschung in diesem Bereich mit.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5173,Verarbeitung von 3D-Punktwolkendaten,1,"Die Studierenden benennen die grundlegenden Herausforderungen der Handhabung von hochaufgelösten 3D-Modellen, die aus 3D-Punktwolkendaten abgeleitet wurden, und ordnen diese ein.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5173,Verarbeitung von 3D-Punktwolkendaten,2,Die Studierenden schildern dazu die technischen Grundlagen gängiger 3D-Sensoren und die daraus resultierenden Effekte bzgl.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5173,Verarbeitung von 3D-Punktwolkendaten,3,Rauschen und Punktverteilung in den aufgenommenen Daten.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5173,Verarbeitung von 3D-Punktwolkendaten,4,"Die Studierenden verwalten große 3D-Punktwolken speicher- und laufzeiteffizient, registrieren diese in einem gemeinsamen Koordinatensystem und visualisieren diese.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5173,Verarbeitung von 3D-Punktwolkendaten,5,"Die Studierenden erklären gängige Algorithmen zur Partitionierung, Persistierung und Filterung von 3D-Daten und übertragen diese auf praktische Szenarien.",,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5173,Verarbeitung von 3D-Punktwolkendaten,6,Die Studierenden berechnen auf Basis von 3D-Punktwolken implizite oder polygonale Darstellungen algorithmisch und texturieren diese mit Daten von 2D-Kameras.,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5028,Virtual Reality and Augmented Reality,1,Die Studierenden beschreiben komplexe Algorithmen der Bereiche Virtual Reality und Augmented Reality und realisieren diese.,,,,
