studiengang,hochschule,modul_id,modulname,satz_nr,satz,typ,taxonomie,qualitaet,konfidenz,split,val_typ,val_taxonomie,val_qualitaet,val_kommentar
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1189,Grundlagen Ingenieurwesen,3,"Die Studierenden sind in der Lage, technische Problemstellungen in der industriellen Herstellung von biotechnologischen Produkten und von Lebensmitteln zu erfassen, zu skizzieren und zu lösen.",K,3;4;6,gut,0.75,train,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1190,Grundlagen des Managements,6,Die Studierenden lernen unternehmerische Handlungsweisen kennen und können betriebswirtschaftliche Entscheidungssituationen analysieren und zielgerichtet gestalten.,K,1;4;6,akzeptabel,0.75,train,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1376,General Microbiology,3,Die Studierenden verfügen über einen Überblick über moderne und sich in der Entwicklung befindliche Alternativen zu den bestehenden Techniken und Technologieschritten sowie deren Kombinationsmöglichkeiten.,K,1,akzeptabel,0.70,train,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1031,Sensorik,2,"Die Studierenden kennen ausgewählte sensorische Prüfverfahren und sind in der Lage, diese anzuwenden und deren Ergebnisse zu beurteilen.",K,1;3;5,gut,0.85,train,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1195,Lebensmittelhygiene,5,"sind imstande, die Grundsätze der wissenschaftlichen Literaturarbeit anzuwenden.",K,3,akzeptabel,0.85,train,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1196,Betriebswirtschaftliche Funktionen,1,Die Studierenden verstehen die betriebswirtschaftlichen Teilfunktionen aus realisations- und managementorientierter Sicht und können diese zueinander in Beziehung setzen.,K,2;4,gut,0.80,test,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1198,Biochemie,4,Die Studierenden erreichen durch die Arbeit im Labor ein Verständnis für die biochemische Analytik sowie praktische Kompetenz für den späteren Berufsalltag.,K,2,akzeptabel,0.75,test,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1245,Biochemistry,1,Die Studierenden erwerben einen Überblick über wesentliche Stoffwechselwege,K,1,akzeptabel,0.75,train,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1034,Qualitätsmanagement (LT),3,Die Studierenden können verschiedene Vorgehensweisen und Instrumente zur Sicherung der Lebensmittelqualität in lebensmittelbezogenen Fallsituationen zielgerichtet anwenden,K,3,gut,0.90,train,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1255,Drying Technology,3,Die Studierenden sind in der Lage einfache Trocknungsanlagen zu berechnen und auszulegen.,K,3,gut,0.85,train,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1048,Anlagentechnik und Hygienic Design,2,Die Studierenden sind durch die Kenntnis hygienischer Voraussetzung zum Verstehen und Beurteilen der hygienegerechten Gestaltung von Komponenten und Anlagen zur Herstellung sensibler Produkte befähigt.,K,2;5,schlecht,0.60,train,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1051,Einführung in die Arzneiformenlehre und Pharmakologie,3,Die Studierenden verfügen über Kenntnisse der grundlegenden pharmazeutischen Arbeitsweisen und Prozesse.,K,1,akzeptabel,0.80,train,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1201,Lebensmittelverfahrenstechnik,3,Die Studierenden können kleinere Projekte zur Berechnung und Auslegung von Apparaten/Verfahren zur Lebensmittelverfahrenstechnik selbstständig durchführen. − Versuche können frei geplant und selbstständig durchgeführt werden. − Modellrechnungen können in eingeschränktem Rahmen entwickelt werden.,K,3;6,akzeptabel,0.75,test,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1263,Pharmaceutical Technology,1,Die Studierenden können technische und naturwissenschaftliche Grundlagen der pharmazeutischen Technologie verstehen und anwenden.,K,2;3,akzeptabel,0.80,train,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1264,Food Analysis,4,"Die Studierenden können die erzielten Ergebnisse kritisch beurteilen sowie schriftlich und mündlich darstellen, wobei die Prinzipien des wissenschaftlichen Arbeitens berücksichtigt werden.",K,2;5,gut,0.85,train,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1046,"Mess-, Steuer-, Regelungstechnik",3,Die Studierenden verfügen über grundlegende Kenntnisse in der Steuerungs- und Regelungstechnik.,K,1,akzeptabel,0.80,test,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1082,Kälte- und Wärmetechnik,1,Die Studierenden verfügen über ein Grundverständnis von wärme- und kältetechnischen Prozessen.,K,2,akzeptabel,0.70,train,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1320,Aktuelle Themen der Biotechnologie,1,Die Studierenden kennen aktuelle Entwicklungen in der Biotechnologie,K,1,akzeptabel,0.85,train,,,,
Lebensmitteltechnologie (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,4,Die Studierenden beherrschen grundlegende Programmiertechniken und haben Basiswissen über Datenstrukturen und Algorithmen.,K,1;3,akzeptabel,0.70,train,,,,
Mechatronik (B.Sc.),Hochschule Fulda,ET1599,Physik,1,mit der Dynamik eines Massepunktes umzugehen und einfache Probleme der Newtonschen Mechanik (eines Massepunktes) zu berechnen,K,3,akzeptabel,0.75,train,,,,
Mechatronik (B.Sc.),Hochschule Fulda,ET1600,Technikprojekt,3,selbstständig und in Teams zu arbeiten,K,3,akzeptabel,0.70,train,,,,
Mechatronik (B.Sc.),Hochschule Fulda,ET1600,Technikprojekt,8,die Erstellung einfacher mechanische Konstruktionen,K,3,schlecht,0.60,test,,,,
Mechatronik (B.Sc.),Hochschule Fulda,ET1600,Technikprojekt,12,Literatur und Internetrecherche wissenschaftlich fundiert zu nutzen,K,3,akzeptabel,0.70,train,,,,
Mechatronik (B.Sc.),Hochschule Fulda,ET1588,Xperience Lab 1,4,Fehlerschranken zu ermitteln,K,3,akzeptabel,0.80,train,,,,
Mechatronik (B.Sc.),Hochschule Fulda,ET1602,Mathematik 3,2,die Analogien und Unterschiede zwischen ein- und mehrdimensionaler Analysis wiederzugeben und zu erklären,K,1;2,gut,0.90,train,,,,
Mechatronik (B.Sc.),Hochschule Fulda,ET1113,Grundlagen der Thermodynamik und Strömungslehre,2,"Sie kennen die Größen, die die thermodynamischen Eigenschaften von Stoffen beschreiben und können diese durch grundlegende Anwendung von Stoffwertekorrelationen berechnen.",K,1;3,akzeptabel,0.80,train,,,,
Mechatronik (B.Sc.),Hochschule Fulda,ET1114,Maschinenelemente und Werkstoffe im Maschinenbau,1,grundlegende Maschinenelemente fertigungsgerecht und funktionssicher auszulegen,K,3,gut,0.85,test,,,,
Mechatronik (B.Sc.),Hochschule Fulda,ET1507,Berufspraktikum,3,"die eigene, individuelle Qualifikation zu analysieren und zu bewerten",K,4;5,schlecht,0.80,train,,,,
Mechatronik (B.Sc.),Hochschule Fulda,ET1041,Feldbusse,1,"Die Teilnehmenden sind in der Lage, technische Grundlagen, den Einsatz, die Struktur, den Aufbau und die Funktion moderner industrieller Kommunikationstechnologie wieder zu geben.",K,1,akzeptabel,0.80,test,,,,
Mechatronik (B.Sc.),Hochschule Fulda,ET1041,Feldbusse,2,"Sie kennen Komponenten und Geräte, mit denen mobile und stationäre Systeme vernetzt werden können sowie eine Auswahl an Kommunikationsprotokollen und deren applikationsspezifische Anwendung.",K,1,akzeptabel,0.75,train,,,,
Wirtschaftsinformatik (B.Sc.),Hochschule Fulda,AI1005,Betriebswirtschaftslehre 1,1,Die Studierenden geben die wesentlichen Grundlagen der Betriebswirtschaftslehre wieder.,K,1,gut,0.85,test,,,,
Wirtschaftsinformatik (B.Sc.),Hochschule Fulda,AI1438,Mathematik für Wirtschaftsinformatiker 1,2,"Die Studierenden erwerben Kompetenzen, die ihnen erlauben, selbständig weiterführende Lernprozesse zu gestalten und sich mit Fachvertretern und mit Laien über Ideen, Probleme und Lösungen auszutauschen.",K,6,schlecht,0.65,train,,,,
Wirtschaftsinformatik (B.Sc.),Hochschule Fulda,AI1008,Betriebswirtschaftslehre 2,2,"Die Studierenden definieren und unterscheiden Fachbegriffe aus den betrieblichen Funktionen Personal- und Materialwirtschaft, Logistik, Produktion, Marketing sowie der Planung als Teil der betrieblichen Leitungsfunktion.",K,1;4,gut,0.90,train,,,,
Wirtschaftsinformatik (B.Sc.),Hochschule Fulda,AI1017,IT-Sicherheit,1,Die Studierenden benennen Angriffstechniken und Herausforderungen bei der Absicherung von IT-Systemen.,K,1,gut,0.90,train,,,,
Wirtschaftsinformatik (B.Sc.),Hochschule Fulda,AI1023,Praxisprojekt,3,Die Studierenden wenden das erlernte Fach- und Methodenwissen aus dem Studium in einer Unternehmensumgebung an.,K,3,gut,0.90,train,,,,
Wirtschaftsinformatik (B.Sc.),Hochschule Fulda,AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,2,Die Studierenden können die prinzipiellen konzeptionellen Unterschiede verschiedener Low-Code Programmierformen und deren Bezug zum komponentenbasierten Softwareengineering sowie der agilen Softwareentwicklung darstellen.,K,2,gut,0.85,train,,,,
Wirtschaftsinformatik (B.Sc.),Hochschule Fulda,AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,7,Die Studierenden kennen ein Vorgehensmodell zur Durchführung von Low-Code-Projekten und können ihre in diesem Modul erworbenen technischen Kompetenzen dort einordnen und bei Bedarf auf Plattformen mit einem nicht-prozessorientierten Ansatz übertragen.,K,1;3;4,akzeptabel,0.75,train,,,,
Wirtschaftsinformatik (B.Sc.),Hochschule Fulda,AI1030,Entwicklung von betrieblicher Anwendungssoftware,5,"Wirtschaftsinformatik vom 22.01.2020, zuletzt geändert am 17.01.2024 Hochschule Fulda, Fachbereich Angewandte Informatik Seite 57",S,,schlecht,0.99,train,,,,
Wirtschaftsinformatik (B.Sc.),Hochschule Fulda,AI1052,Personalmanagement,3,"Die Studierenden erläutern den Personaleinsatz, die Personalentwicklung und -freisetzung.",K,2,gut,0.90,test,,,,
Wirtschaftsinformatik (B.Sc.),Hochschule Fulda,AI1053,Unternehmensplanspiel,1,"Die Studierenden sind in der Lage, selbstständig (bzw. in Teamarbeit) betriebswirtschaftliche Entscheidungen unter Berücksichtigung von deren Konsequenzen (z.B. auf Cash Flow oder Gewinn) zu treffen.",K,5,akzeptabel,0.75,test,,,,
Wirtschaftsingenieurwesen (B.Sc.),Hochschule Fulda,ET1600,Technikprojekt,8,die Erstellung einfacher mechanische Konstruktionen,K,3,akzeptabel,0.70,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),Hochschule Fulda,ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,3,mit wissenschaftlichen Quellen zu arbeiten,K,3,schlecht,0.50,test,,,,
Wirtschaftsingenieurwesen (B.Sc.),Hochschule Fulda,ET1037,Vektoranalysis und zusätzliche Kapitel der mehrdimensionalen,1,Kurven- und Oberflächenintegrale zu berechnen,K,3,akzeptabel,0.85,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),Hochschule Fulda,ET1037,Vektoranalysis und zusätzliche Kapitel der mehrdimensionalen,2,den Zusammenhang zwischen konkreten Kurven- und Oberflächenintegralen und dem Formalismus der Differentialformen zu verstehen,K,2,akzeptabel,0.85,train,,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1123,Grundlagen des wissenschaftlichen Arbeitens,6,Die Studierenden erwerben Kenntnisse über die Grundlagen des sicheren Arbeitens insbesondere in Laboratorien.,K,1,akzeptabel,0.70,test,,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1228,Principles of Scientific Research,2,Die Studierenden kennen die Methoden des wissenschaftlichen Arbeitens und können diese anwenden.,K,1;3,akzeptabel,0.85,train,,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1229,Management Basics,3,Die Studierenden können wichtige Instrumente zur Bewältigung von Management-Entscheidungen anwenden.,K,3,gut,0.85,train,,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1020,Grundlagen der Biologie und Rohstoffkunde (LT),2,Die Studierenden kennen wichtige biochemische und physiologische Prozesse in pflanzlichen und tierischen Geweben.,K,1,akzeptabel,0.90,train,,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1233,Fundamentals of Biology and Raw Materials (FT),4,Die Studierenden wissen über Zusammensetzung und Qualität ausgewählter pflanzlicher und tierischer Rohstoffe Bescheid.,K,1,akzeptabel,0.80,train,,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1246,Particle Technology and Fluid Mechanics,2,"Die Studierenden sind in der Lage, einfache Problemstellungen zu analysieren und notwendige Berechnungen selbst durchzuführen.",K,3;4,gut,0.85,train,,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1099,Statistik für Wirtschaftsingenieur*innen,6,Die Studierenden können statistische Software einsetzen.,K,3,gut,0.90,train,,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1038,Praxisphase,4,Die Studierenden können sich innerhalb kurzer Zeit in komplexe Aufgaben und Unternehmenskulturen einarbeiten.,K,3,gut,0.85,train,,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1235,Food Technology I,4,Dadurch können sie aufkommende Innovationen verstehen.,K,2,akzeptabel,0.70,train,,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1249,Food Law,5,Die Studierenden lernen durch die vielfältigen Themenstellungen im Lebensmittelrecht fachübergreifend zu argumentieren.,K,3,akzeptabel,0.70,test,,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1251,Quality Management (FT),4,Die Studierenden können Einsatzmöglichkeiten und Reichweite von Eigenkontrollsystemen und Q-Zertifikaten beurteilen und umsetzen,K,3;5,gut,0.85,train,,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1311,Applied Microbiology and Industrial Hygiene,1,Die Studierenden kennen wichtige mikrobielle Produktionsorganismen,K,1,akzeptabel,0.90,train,,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,5,Die Studierenden können elementare Algorithmen erklären und für einfache Probleme selbst entwickeln.,K,2;6,gut,0.80,train,,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1314,Molekularbiologie und Gentechnik,2,Die Studierenden kennen klassische und moderne Methoden der Gentechnik und können sie praktisch anwenden.,K,1;3,akzeptabel,0.85,test,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0011,Mathematik 2,2,"Die Studierenden können auch kompliziertere Aspekte ingenieurtechnischer Sachverhalte mathematisch formulieren und sind in der Lage, die mathematischen Grundlagen weitergehender ingenieurtechnischer Fachdisziplinen zu verstehen.",K,2;3,akzeptabel,0.75,train,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0040,Technische Thermodynamik,4,Die Studierenden können den eigenen Leistungsstand auf dem Gebiet der technischen Thermodynamik beurteilen,K,5,gut,0.85,train,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0062,Maschinenelemente 3,1,"Maschinensystemen zur mechanischen Antriebstechnik gestalten anhand eines Konstruktionsprojektes Getriebe entwerfen und gestalten. auf Basis von Freiformflächenmodellierungen, Parameterkurven und programmierbarer Parameterbeziehungen komplexe geometrische Modellierungen erstellen Methodenkompetenzen (fachlich & überfachlich)",I,,schlecht,0.60,train,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0071,Elektrotechnik Labor,3,Fragestellungen der Elektrotechnik in Gruppen diskutieren,K,2,schlecht,0.60,train,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0090,Methoden des wissenschaftlichen Arbeitens,2,Aufgaben der Wissenschaften und Wissenschaftsvokabular,I,,akzeptabel,0.90,test,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0090,Methoden des wissenschaftlichen Arbeitens,20,erlernen die Umsetzung von Aufgaben mit Präzision und Detailtreue,K,3,schlecht,0.60,train,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0231,Bachelor-Kolloquium,1,Das Thema und das Ergebnis der Bachelorarbeit sachlich richtig darstellen,K,2,schlecht,0.70,train,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0250,Verbrennungsmotoren 1,2,Die Studierenden können die Vereinfachungen zu realen Prozessführungen anwenden und so die Aussagen von Vergleichsprozessen auf reale VM übertragen,K,3,gut,0.85,test,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0251,Verbrennungsmotoren 2,5,Die Studierenden können ihren Lernfortschritt reflektieren und ihr Lernverhalten ggf. (methodisch/zeitlich) anpassen,K,5,gut,0.90,train,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0280,Energie- und Strömungstechnik Labor /,2,Die Studierenden können die wesentlichen Regeln zur wissenschaftlichen Dokumentation von Versuchsdurchführungen und Ergebnisdarstellungen selbstständig anwenden,K,3,gut,0.90,train,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0280,Energie- und Strömungstechnik Labor /,4,Die Studierenden können ihren Lernfortschritt reflektieren und ihr Lernverhalten ggf. (methodisch/zeitlich) anpassen,K,5,gut,0.90,train,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0300,Mechatronische Systeme,3,Die Studierenden können die Integration von Sensoren und Aktoren in unterschiedliche Systeme sowie deren angepasste Auslegung und Regelung durchführen Sozialkompetenzen keine,K,3,akzeptabel,0.75,train,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0320,Qualitätsmanagement,1,Die Studierenden können die Bedeutung der Qualität im produzierenden und dienstleistenden Gewerbe sowie in den Branchenvarianten erkennen die Entstehung und Entwicklung von Verfahren zur Qualitätsverbesserung verstehen die im Rahmen des Qualitätsmanagements angewandten Normen erläutern und verstehen die Auswirkungen auf betriebliche Abläufe Methodenkompetenzen (fachlich & überfachlich),K,1;2,schlecht,0.60,train,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0350,Steuerungstechnik im Automobilbau /,3,Die Studierenden können die prinzipielle Vorgehensweise und die Techniken zum Lösen von ingenieurmäßigen Aufgaben im Bereich der automobilen Steuerungstechnik anwenden,K,3,gut,0.85,train,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0380,Verbundwerkstoffe,1,"Die Studierenden beherrschen Studierenden erhalten dazu zunächst einen Überblick über exemplarische Faser-, Schicht-, Teilchen- und Durchdringungs-Verbundwerkstoffe sowie deren Herstellungsverfahren, Eigenschaften und Anwendungen Grundlagen des Rechts, der Normauslegung und der Rechtsanwendung",S,,schlecht,0.50,train,,,,
Maschinenbau (B.Sc.),TH Mittelhessen,B0460,Oberflächentechnik,2,Korrosionsschutz-Maßnahmen definieren und anwenden eine prozess- und anwendungsbezogene Auswahl von Beschichtungen im Hinblick auf Korrosionsund Verschleißschutz treffen,K,1;3,akzeptabel,0.70,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1011,Mathematik 1,11,"nehmen aktiv am Lernen teil,",K,3,akzeptabel,0.75,test,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1011,Mathematik 1,13,"Die Studierenden können eigene Wissenslücken erkennen und schließen,",K,4;5,gut,0.80,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1012,Physik und Labor,5,"nehmen aktiv am Lernen teil,",K,3,akzeptabel,0.75,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1012,Physik und Labor,7,"Die Studierenden können eigene Wissenslücken erkennen und schließen,",K,4;5,gut,0.80,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1012,Physik und Labor,8,ihren Lernfortschritt reflektieren. 1012-2 Labor (2 CrP):,K,5,schlecht,0.70,test,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1013,Wissenschaftliches Arbeiten und Methodenlehre,19,erstellen und präsentieren eigene wissenschaftliche Forschungsarbeiten.,K,3;6,gut,0.85,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1031,Statistik,6,"grundlegende induktive statistische Methoden auswählen und anwenden,",K,3,akzeptabel,0.80,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1033,Marketing,5,"Die Studierenden können sich in Gruppenarbeiten themenspezifisch mit ihren Kommilitonen auseinandersetzen und zielführend diskutieren,",K,3,gut,0.80,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1043,"Einführung ins Controlling, Investition und Finanzierung /",14,Die Studierenden können ihre eigenen Schwächen und Stärken reflektieren und die eigene Entwicklung planen.,K,5;6,gut,0.85,test,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1044,Lebenszyklusorientiertes Produktionsmanagement /,4,aktuelle Trends im Produktionsmanagement benennen.,K,1,gut,0.90,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1051,Projekt- und Prozessmanagement – Grundlagen,12,"können grundlegende Methoden auf Projekte zur Geschäftsprozessgestaltung anwenden und setzen dabei geeignete Methoden (z.B. Ereignisgesteuerte Prozessketten, EPK) zur Bearbeitung ihrer fachlichen Aufgabe ein.",K,3,gut,0.85,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1052,Personalmanagement und Organisation,1,"verstehen die Bedeutung des Personalmanagements in einem Unternehmen,",K,2,akzeptabel,0.80,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1061,Technisches Englisch,16,geben anhand von Kriterien anderen Studierenden Feedback zu ihrer Sprachproduktion.,K,5,akzeptabel,0.80,test,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1061,Wirtschaftsenglisch,13,"entwickeln in Gruppen kooperativ und effektiv Lösungen für Problemstellungen,",K,6,akzeptabel,0.75,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1061,Wirtschaftsenglisch,17,geben anhand von Kriterien anderen Studierenden Feedback zu ihrer Sprachproduktion.,K,5,akzeptabel,0.80,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1061,Einführung in die chinesische Sprache und Kultur (A1) /,8,Sie verstehen die Hauptaussagen von komplexen Vorlesungen/Reden/Berichten mit akademischem oder beruflichem Bezug.,K,2,gut,0.85,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1061,Einführung in die chinesische Sprache und Kultur (A1) /,9,"Die Studierenden entnehmen schriftlichen Quellen des eigenen Fachgebiets Informationen, Gedanken und Meinungen.",K,3,gut,0.85,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1061,Fachsprachkurs Deutsch für Studium und Beruf (ab C1),1,Der Kurs richtet sich an ausländische Studierende deutschsprachiger Studiengänge aller Fachbereiche.,S,,akzeptabel,0.95,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1073,Kolloquium zur Bachelorarbeit,5,"Die Studierenden können ihre Ergebnisse in angemessener, medial unterstützter und wissenschaftlich fundierter Form zu präsentieren.",K,3,akzeptabel,0.70,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1111,Materialwissenschaften,6,"Die Studierenden können anwendungsbezogen Werkstoffe auswählen,",K,5,gut,0.80,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1112,Technische Mechanik 1 (TM1),6,auf verschiedene Arten und Weisen z.B. zeichnerisch oder mit verschiedenen Methoden analytisch statische Probleme lösen.,K,3,gut,0.85,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1122,Technische Mechanik 2 (TM2),7,"Berechnungen innerhalb bestimmter Beanspruchungsformen anstellen,",K,3,akzeptabel,0.75,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1122,Technische Mechanik 2 (TM2),9,"Die Studierenden können das Erlernte wiedergeben, so dass Sie im späteren Berufsleben die angewendeten Methoden auch erklären können,",K,1;2,akzeptabel,0.70,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1131,Elektrotechnik,8,"vertiefen in Gruppenübungen das Arbeiten im Team mit den zugehörigen Kommunikationsprozessen,",K,3,akzeptabel,0.70,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1142,Technische Thermodynamik,8,simulieren technische Vorgänge durch Anwendung der Beziehungen und Methoden der Thermodynamik.,K,3,gut,0.85,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1211,Einführung in die Elektrotechnik 1,14,"Die Studierenden können eigene Wissenslücken erkennen und schließen,",K,3;4,akzeptabel,0.75,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1222,Informatik 2,6,"verwenden verkettete Listen zur Speicherung von Daten, typedef und enum,",K,3,akzeptabel,0.80,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1223,Elektrotechnik Labor,3,"können die zugehörigen Mess- und Analysemethoden anwenden,",K,3,gut,0.90,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1311,Life Cycle Management 1,15,"Die Vor- und Nachbereitung des Vorlesungsstoffes sowie das Bearbeiten von Übungen sind dabei Teile des Selbststudiums der eigenständig gestaltet werden kann,",S,,schlecht,0.70,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1122,Technische Mechanik 2 (TM2),7,"Die Studierenden können mittels verschiedener Methoden mögliche Versagensursachen von Bauteilen kritisch hinterfragen und deuten,",K,4;5,gut,0.85,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1331,Life Cycle Management 2,14,ihren Lernprozess eigenständig planen und umsetzen.,K,3;6,gut,0.80,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1382,Corporate Social Responsibility,9,"Methoden zur Analyse und Bewertung von CSR- und Nachhaltigkeitsberichten darstellen, auf konkrete Praxisfälle anwenden und die Ergebnisse kritisch reflektieren.",K,2;3;5,gut,0.85,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1081,Fabikplanung,7,"Arbeitsplätze auf Ergonomie untersuchen,",K,4,akzeptabel,0.80,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1181,Werkzeugmaschinen inkl. Labor,7,"unterscheiden die wesentlichen Verfahren zur Ermittlung der Herstell- und Arbeitsgenauigkeit,",K,4,akzeptabel,0.85,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1181,Werkzeugmaschinen inkl. Labor,11,"Laborpraktika an Werkzeugmaschinen bzw. Komponenten unter Anleitung durchführen,",K,3,akzeptabel,0.80,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1183,"Mess-, Steuer- Regeltechnik",2,"Die Studierenden können regelungstechnische Aufgaben mit Hilfe von Software simulieren,",K,3,gut,0.85,train,,,,
Wirtschaftsingenieurwesen (B.Sc.),TH Mittelhessen,1183,"Mess-, Steuer- Regeltechnik",3,DDC-Systemen zum Einsatz in der Gebäudetechnik und Industrie aufbauen und programmieren.,K,3,akzeptabel,0.70,train,,,,
