studiengang,modul_id,modulname,satz_nr,satz,typ,taxonomie,konfidenz,split
Digitale Medien (B.Sc.),AI1273,Grundlagen der Wirtschaftspolitik,4,Beteiligen sich aktiv an aktuellen wirtschaftspolitischen Debatten.,K,3,0.60,train
Digitale Medien (B.Sc.),AI1273,Grundlagen der Wirtschaftspolitik,5,Die Studierenden ordnen die vorgebrachten Argumente theoretisch ein und bewerten diese.,K,5,0.90,train
Digitale Medien (B.Sc.),AI1436,Internet of Things,1,Die Studierenden wenden die Programmiersprache C zur Lösung eigener Problemstellungen an.,K,3,0.95,test
Digitale Medien (B.Sc.),AI1436,Internet of Things,2,Die Studierenden kennen Besonderheiten bei der Programmierung von leistungsfähigen Mikrocontrollern mit Hochsprachen wie C.,K,1,0.90,train
Digitale Medien (B.Sc.),AI1436,Internet of Things,3,Die Studierenden benennen wichtige Netzwerkprotokolle für das Internet of Things (IoT).,K,1,0.90,test
Digitale Medien (B.Sc.),AI1436,Internet of Things,4,Die Studierenden verwenden TCP/IP-basierte Kommunikationsnetzwerke auf Mikrocontrollern.,K,3,0.90,train
Digitale Medien (B.Sc.),AI1436,Internet of Things,5,Die Studierenden benutzen Software-Bibliotheken.,K,3,0.90,train
Digitale Medien (B.Sc.),AI1436,Internet of Things,6,Die Studierenden implementieren Software auf Mikrocontrollern für eigene IoT-Anwendungen.,K,3,0.90,test
Digitale Medien (B.Sc.),AI1436,Internet of Things,7,Die Studierenden erproben IoT-Anwendungen in praktischen Aufbauten.,K,3,0.80,train
Digitale Medien (B.Sc.),AI1017,IT-Sicherheit,1,Die Studierenden benennen Angriffstechniken und Herausforderungen bei der Absicherung von IT-Systemen.,K,1,0.90,train
Digitale Medien (B.Sc.),AI1017,IT-Sicherheit,2,Die Studierenden definieren und unterscheiden Fachbegriffe der IT-Sicherheit.,K,4,0.85,train
Digitale Medien (B.Sc.),AI1017,IT-Sicherheit,3,"Die Studierenden analysieren gegebene Problemstellungen auf Anfälligkeit gegenüber Angriffen, bewerten die Relevanz der Absicherung gegenüber den Angriffen und können passende Sicherheitsmechanismen benennen.",K,5,0.90,test
Digitale Medien (B.Sc.),AI1017,IT-Sicherheit,4,"Die Studierenden benennen Verfahren im Bereich der Kryptographie, erklären die Sicherheitseigenschaften der Verfahren und können passende Verfahren zu gegebenen Problemstellungen auswählen.",K,3,0.85,train
Digitale Medien (B.Sc.),AI1017,IT-Sicherheit,5,"Die Studierenden benennen Protokolle im Bereich der IT-Sicherheit, erklären, wieso die Sicherheitsziele der Protokolle erreicht werden und können passende Protokolle zu gegebenen Problemstellungen auswählen.",K,3,0.85,train
Digitale Medien (B.Sc.),AI1017,IT-Sicherheit,6,"Die Studierenden benennen Angriffe und Gegenmaßnahmen im Bereich der Netzwerksicherheit, Betriebssystemsicherheit und Softwaresicherheit und können die Gegenmaßnahmen passend zu einer Problemstellung anwenden.",K,3,0.85,train
Digitale Medien (B.Sc.),AI1122,Logistik,1,"Die Studierenden kennen die wesentlichen Grundlagen einer modernen Logistikkonzeption und sind in der Lage, in der betrieblichen Praxis konkrete logistische Fragstellungen in Projekten zu bearbeiten.",K,3,0.75,train
Digitale Medien (B.Sc.),AI1122,Logistik,2,"Besonderer Wert wird hierbei auch auf den interdisziplinären Charakter vieler Logistik-Projekte durch das Zusammenspiel von Logistikmitarbeitern, IT-Mitarbeitern, Ingenieuren, Controllern und auch externen Beteiligten wie Lieferanten, Kunden und Consultants gelegt.",S,,0.90,train
Digitale Medien (B.Sc.),AI1316,Mediendidaktik und E-Learning,1,Die Studierenden erarbeiten sich in der Lehrveranstaltung die Grundlagen der Mediendidaktik und deren aktuelle Umsetzung mit den Möglichkeiten der Medieninformatik zur Entwicklung von Lernsystemen.,K,2,0.70,train
Digitale Medien (B.Sc.),AI1316,Mediendidaktik und E-Learning,2,Ziel ist sowohl der Erwerb interdisziplinärer Kompetenzen aus den Gebieten der pädagogischen Psychologie und der Didaktik als auch die Einarbeitung in technische Standards im Umfeld heutiger E-Learning An- wendungen.,S,,0.75,train
Digitale Medien (B.Sc.),AI1316,Mediendidaktik und E-Learning,3,"Die Studierenden können ihr erworbenes Wissen aktiv in die Konzeption, Realisierung und Evaluierung multimedialer Lernangebote einbringen.",K,6,0.80,train
Digitale Medien (B.Sc.),AI1032,Mikrocontrollerprogrammierung,1,Die Studierenden kennen die besonderen Aspekte der Mikrocontrollerprogrammierung wie z.B. Interruptbehandlung und Schnittstellenprogrammierung.,K,1,0.90,train
Digitale Medien (B.Sc.),AI1032,Mikrocontrollerprogrammierung,2,Die Studierenden beurteilen die Einsatzgebiete von Mikrocontrollerprogrammierung erstellen eigene Programme für Mikrocontroller in Assembler.,K,6,0.80,train
Digitale Medien (B.Sc.),AI1032,Mikrocontrollerprogrammierung,3,Die Studierenden erstellen eigene Programme für Mikrocontroller in C.,K,6,0.85,train
Digitale Medien (B.Sc.),AI1032,Mikrocontrollerprogrammierung,4,Die Studierenden beurteilen sicherheitskritische Systeme aus dem Bereich Automotive Systeme und der Medizintechnik.,K,5,0.90,train
Digitale Medien (B.Sc.),AI1033,Multimedia-Kommunikation,1,Die Studierenden benennen die technischen Grundlagen und Anforderungen (vgl. Quality of Service/Quality of Experience) für multimediale Kommunikation und IP-Netzen bzw. insb. dem Internet.,K,1,0.90,train
Digitale Medien (B.Sc.),AI1033,Multimedia-Kommunikation,2,"Die Studierenden benennen die Charakteristika von Audio, Voice und Video over IP und aktuelle Kompressionsverfahren.",K,1,0.90,train
Digitale Medien (B.Sc.),AI1033,Multimedia-Kommunikation,3,Die Studierenden benutzen fachgerecht aktuelle Kompressionsverfahren und Protokolle für die Multimedia-Kommunikation.,K,3,0.90,train
Digitale Medien (B.Sc.),AI1033,Multimedia-Kommunikation,4,"Die Studierenden realisieren fachgerecht passend zu aktuellen Anforderungen Lösungen für multimediale Anwendungen wie Streaming oder interaktive Dienste wie Telefonie, Video-/Web-Conferencing oder Collaboration.",K,6,0.80,train
Digitale Medien (B.Sc.),AI1033,Multimedia-Kommunikation,5,"Die Studierenden bewerten unterschiedliche Protokolle, Dienste und Plattformen für Multimedia-Kommunikation und analysieren deren Nutzen.",K,5,0.85,train
Digitale Medien (B.Sc.),AI1033,Multimedia-Kommunikation,6,Die Studierenden kennen Standard-Lösungen für Multimedia-Kommunikationssysteme und deren Performance und Sicherheit.,K,1,0.90,train
Digitale Medien (B.Sc.),AI1033,Multimedia-Kommunikation,7,Die Studierenden bringen sich aktiv in die Teamarbeit mit Multimedia-Kommunikationssystemen im Labor ein.,K,3,0.75,train
Digitale Medien (B.Sc.),AI1052,Personalmanagement,1,Die Studierenden beschreiben den Umgang mit der „Ressource Mensch“ im Unternehmen.,K,2,0.85,train
Digitale Medien (B.Sc.),AI1052,Personalmanagement,2,Die Studierenden erklären die Grundfunktionen der Personalbedarfsplanung und -beschaffung.,K,2,0.90,train
Digitale Medien (B.Sc.),AI1052,Personalmanagement,3,"Die Studierenden erläutern den Personaleinsatz, die Personalentwicklung und -freisetzung.",K,2,0.90,train
Digitale Medien (B.Sc.),AI1052,Personalmanagement,4,Die Studierenden erklären die Personalentlohnung und Personalverwaltung.,K,2,0.90,train
Digitale Medien (B.Sc.),AI1052,Personalmanagement,5,Die Studierenden nennen die gängigen Personalauswahlverfahren.,K,1,0.95,train
Digitale Medien (B.Sc.),AI1052,Personalmanagement,6,"Die Studierenden bereiten sich kompetent auf Bewerbungsprozesse vor, indem Sie das Verhalten in Bewerbungssituationen trainieren.",K,3,0.80,train
Digitale Medien (B.Sc.),AI1052,Personalmanagement,7,"Die Studierenden beschreiben die wesentlichen Faktoren des Berufseinstiegs (Einarbeitung, Gehalt, Einsatz, Kündigungsverfahren).",K,2,0.90,train
Digitale Medien (B.Sc.),AI1052,Personalmanagement,8,Die Studierenden trainieren das Verhalten in Bewerbungssituationen.,K,3,0.85,train
Digitale Medien (B.Sc.),AI1052,Personalmanagement,9,Die Studierenden simulieren die gängigen Auswahlverfahren der Personalauswahl für den Berufseinstieg.,K,3,0.85,train
Digitale Medien (B.Sc.),AI1124,Projektmanagement,1,"Die Studierenden definieren Projektmanagement und unterscheiden das Steuerungsmodell (Projektmanagement) von dem Durchführungsmodell (Projektphasen, Vorgehensmodelle).",K,4,0.85,train
Digitale Medien (B.Sc.),AI1124,Projektmanagement,2,"Die Studierenden beschreiben die Phasen des Projektmanagements von der Initiierung eines Projektes bis zum Projektabschluss entlang der verschiedenen Projektmanagementelemente, sowie die Einordnung in den Strategiekreislauf von Unternehmen.",K,2,0.85,train
Digitale Medien (B.Sc.),AI1124,Projektmanagement,3,"Die Studierenden lösen Aufgabenstellungen unter Anwendung von Methoden des Projektmanagements wie zum Beispiel des Netzplans, verschiedener Aufwandsschätzverfahren, Verfahren zur Leistungsfortschrittskontrolle (Earned Value Analyse).",K,3,0.90,test
Digitale Medien (B.Sc.),AI1124,Projektmanagement,4,Die Studierenden wenden insbesondere im Praktikum die verschiedenen Methoden und Techniken der Projektplanung am konkreten Anwendungsfall selbst an und präsentieren die Ergebnisse.,K,3,0.85,train
Digitale Medien (B.Sc.),AI1039,Robotik,1,Die Studierenden geben die Fachterminologie im Bereich der Robotik mit dem Schwerpunkt autonome mobile Roboter korrekt wieder.,K,1,0.90,train
Digitale Medien (B.Sc.),AI1039,Robotik,2,"Die Studierenden schildern sowohl die technischen (Mechanik, Antrieb, Sensorik, Aktuatorik) als auch die theoretischen Grundlagen der Robotik (Kinematik, Dynamik) und",K,2,0.90,train
Digitale Medien (B.Sc.),AI1039,Robotik,3,Die Studierenden berechnen die Pose eines Roboters im Raum anhand einer Roboterkarte sowie eines Aktions- und Sensormodells.,K,3,0.95,train
Digitale Medien (B.Sc.),AI1039,Robotik,4,Die Studierenden fusionieren Informationen aus verschiedenen Sensoren mittels Kalman-Filter.,K,3,0.85,train
Digitale Medien (B.Sc.),AI1039,Robotik,5,"Die Studierenden benennen Verfahren zur Steuerung, Kartenerstellung und Navigation von Robotern in einer Umgebung.",K,1,0.90,train
Digitale Medien (B.Sc.),AI1039,Robotik,6,Die Studierenden erklären die Grundlagen von Middleware-Systemen in der Robotik.,K,2,0.90,test
Digitale Medien (B.Sc.),AI1039,Robotik,7,Die Studierenden setzen die erworbenen Kenntnisse für konkrete Problemstellungen aus dem Bereich mobiler Roboter um.,K,3,0.85,test
Digitale Medien (B.Sc.),AI1027,TCP/IP-Programmierung,1,"Die Studierenden kennen die in der Praxis üblichen TCP/IP-Programmiertechniken und -mechanismen, sowie die Werkzeuge für verschiedene Entwicklungsphasen für Internet-Software und die Gegenüberstellung ihrer quantitativen Charakteristika.",K,1,0.85,train
Digitale Medien (B.Sc.),AI1027,TCP/IP-Programmierung,2,"Die Laborversuche umfassen den Entwurf und die Implementierung vollständiger, lauffähiger Internet-Protokolle (basierend auf IPv4 und IPv6), Clienten und Serverprogramme als Modifikation bzw. Erweiterung der in der Vorlesung behandelten Beispielprogramme.",I,,0.85,train
Digitale Medien (B.Sc.),AI1053,Unternehmensplanspiel,1,"Die Studierenden sind in der Lage, selbstständig (bzw. in Teamarbeit) betriebswirtschaftliche Entscheidungen unter Berücksichtigung von deren Konsequenzen (z.B. auf Cash Flow oder Gewinn) zu treffen.",K,5,0.80,train
Digitale Medien (B.Sc.),AI1046,Visualisierung,1,"Die Studierenden lernen Theorie und Praxis, Regeln und Werkzeuge für die Umsetzung von Informationen und Daten in eine visuelle Darstellung (visuelle Kommunikation) kennen.",K,1,0.75,train
Digitale Medien (B.Sc.),AI1046,Visualisierung,2,Die Studierenden erläutern die Grundregeln der visuellen Kommunikation und leiten von diesen Regeln für die Verwendung ab.,K,3,0.80,test
Digitale Medien (B.Sc.),AI1046,Visualisierung,3,Die Studierenden beschreiben und interpretieren bildliche Abbildungen anhand ihrer visuellen Inhalte.,K,2,0.85,train
Digitale Medien (B.Sc.),AI1046,Visualisierung,4,Die Studierenden klassifizieren Bilder anhand ihrer visuell sichtbaren Zeichen und Inhalte.,K,4,0.90,train
Digitale Medien (B.Sc.),AI1046,Visualisierung,5,Die Studierenden setzen Typographie in der visuellen Kommunikation sachgemäß und zielgerichtet ein.,K,3,0.90,train
Digitale Medien (B.Sc.),AI1046,Visualisierung,6,Die Studierenden wenden die Grundlagen der Wahrnehmung in den eigenen Gestaltungen an.,K,3,0.90,train
Digitale Medien (B.Sc.),AI1046,Visualisierung,7,Die Studierenden wählen geeignete Werkzeuge für die Umsetzung und Visualisierung von Informationen und Daten aus und begründen ihre Auswahl.,K,5,0.80,train
Digitale Medien (B.Sc.),AI1046,Visualisierung,8,Die Studierenden visualisieren Erklärungs- und Lernprozessen mit geeigneten Werkzeugen.,K,3,0.85,train
Digitale Medien (B.Sc.),AI1046,Visualisierung,9,"Die Studierenden setzten eigenständig und sachgemäß visuelle Darstellungen von Informationen und Daten, mit gängiger Grafiksoftware oder einfachen Programmierungen, um.",K,3,0.85,train
Digitale Medien (B.Sc.),AI1444,Visual Computing,1,Die Studierenden erhalten einen Überblick über die Kerngebiete des Visual Computings und lernen entsprechende Modelle und Methoden kennen.,K,1,0.75,test
Digitale Medien (B.Sc.),AI1444,Visual Computing,2,Sie verstehen die wichtigsten Verfahren zur Bildsynthese (Computergraphik bzw. Visualisierung) sowie zur Bildanalyse (Computer Vision) und können diese bei grundlegenden Bildsynthese- und Bildanalyse-Problemen anwenden.,K,3,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1000,Mathematik 1,1,"die wichtigen Begriffe der Mathematik (z.B. Zahlenmengen, Funktionen, Folgen) und der analytischen Geometrie und linearen Algebra (z.B. Vektoren, Matrizen) zu verstehen",K,2,0.85,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1000,Mathematik 1,2,die grundlegenden Techniken und Methoden zur Lösung von Gleichungen und zur Untersuchung von Funktionen zu beherrschen,K,3,0.85,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1000,Mathematik 1,3,die Funktionen zu analysieren und ihre Eigenschaften zur Lösung verschiedener Probleme anzuwenden,K,3,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1002,Grundlagen der Elektrotechnik 1 – Gleichstromnetzwerke,1,die wichtigsten passiven elektrotechnischen Bauelemente zu benennen und zu erklären,K,2,0.85,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1002,Grundlagen der Elektrotechnik 1 – Gleichstromnetzwerke,2,Verfahren zur Berechnung linearer elektrischer Netzwerke anzuwenden,K,3,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1002,Grundlagen der Elektrotechnik 1 – Gleichstromnetzwerke,3,nichtlineare Netzwerke grundlegend zu beschreiben und zu berechnen,K,3,0.80,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1599,Physik,1,mit der Dynamik eines Massepunktes umzugehen und einfache Probleme der Newtonschen Mechanik (eines Massepunktes) zu berechnen,K,3,0.85,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1599,Physik,2,Trägheitsmomente und Drehbewegungen einfacher starrer Körper zu berechnen,K,3,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1599,Physik,3,die Theorie der Schwingungs- und Wellenvorgänge bei der Lösung einfacher Probleme anzuwenden,K,3,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1599,Physik,4,Begriffe und Gesetze der technischen Thermodynamik wiederzugeben und anzuwenden,K,3,0.85,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1599,Physik,5,die Grundlagen der spez.,S,,0.90,test
Elektrotechnik und Informationstechnik (B.Sc.),ET1599,Physik,6,Relativitätstheorie zu beschreiben und den rechnerischen Umgang mit deren technischen Konsequenzen zu nennen,K,2,0.70,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1599,Physik,7,"qualitativ die Physik der Halbleiter, deren Dotierung und den Aufbau eines pn-Übergangs zu erklären und einfache Probleme in diesem Zusammenhang zu lösen",K,3,0.85,test
Elektrotechnik und Informationstechnik (B.Sc.),ET1599,Physik,8,qualitativ die chem.,S,,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1599,Physik,9,"Bindungen, die Kristallstrukturen, die Kristallfehler und den Aufbau von Polymeren zu beschreiben",K,2,0.80,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1003,Digitaltechnik und sprachliche Grundlagen,1,einfache Digitalschaltungen zu konstruieren,K,6,0.80,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1003,Digitaltechnik und sprachliche Grundlagen,2,die grundlegenden Konzepte des Aufbaus und der Programmierung von Rechnern wiederzugeben,K,1,0.90,test
Elektrotechnik und Informationstechnik (B.Sc.),ET1010,Grundlagen der Programmierung,1,"Die Teilnehmenden sind in der Lage, in einer imperativen Programmiersprache unter Anwendung der Programmiermethodik kleinere Aufgaben und Probleme programmtechnisch zu lösen.",K,3,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1600,Technikprojekt,1,die typischen Aufgaben von Ingenieur*innen wiederzugeben,K,1,0.95,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1600,Technikprojekt,2,die Bedeutung der Technik für Gesellschaft und Wirtschaft zu erklären,K,2,0.95,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1600,Technikprojekt,3,selbstständig und in Teams zu arbeiten,K,3,0.80,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1600,Technikprojekt,4,"eine vorgebebene Aufgabenstellung im Team zu analysieren, zu lösen und zu präsentieren",K,4,0.85,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1600,Technikprojekt,5,naturwissenschaftlich zu denken und methodisch zu arbeiten Die Teilnehmenden beherrschen:,K,3,0.75,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1600,Technikprojekt,6,Grundverständnis für technische und physikalische Zusammenhänge,K,2,0.75,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1600,Technikprojekt,7,Verständnis einfacher elektrischer Schaltungen,K,2,0.80,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1600,Technikprojekt,8,die Erstellung einfacher mechanische Konstruktionen,K,3,0.75,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1600,Technikprojekt,9,die Bedienung von einfachen Messgeräten,K,3,0.80,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1600,Technikprojekt,10,Messungen an einfachen Schaltungen durchzuführen und zu bewerten,K,5,0.85,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1600,Technikprojekt,11,einfache Programmieraufgaben mit einem eingebetteten System zu lösen,K,3,0.90,test
Elektrotechnik und Informationstechnik (B.Sc.),ET1600,Technikprojekt,12,Literatur und Internetrecherche wissenschaftlich fundiert zu nutzen,K,3,0.80,test
Elektrotechnik und Informationstechnik (B.Sc.),ET1600,Technikprojekt,13,methodisches Arbeiten,I,,0.70,test
Elektrotechnik und Informationstechnik (B.Sc.),ET1006,Mathematik 2,1,die Grundlagen der Differential- und Integralrechnung zu beherrschen und die grundlegenden Techniken anzuwenden,K,3,0.85,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1006,Mathematik 2,2,verschiedene Typen von Differentialgleichungen zu lösen und ihre Bedeutung für Anwendungen zu verstehen,K,3,0.80,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1009,Grundlagen der Elektrotechnik 2 – Wechselstromnetzwerke,1,das Frequenzverhalten einfacher Wechselstromschaltungen zu berechnen,K,3,0.95,test
Elektrotechnik und Informationstechnik (B.Sc.),ET1009,Grundlagen der Elektrotechnik 2 – Wechselstromnetzwerke,2,"Ströme, Spannungen und Leistungen in Mehrphasensystemen zu berechnen",K,3,0.95,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1009,Grundlagen der Elektrotechnik 2 – Wechselstromnetzwerke,3,transiente Vorgänge zu berechnen,K,3,0.95,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1588,Xperience Lab 1,1,"Versuchsanordnungen zu ausgewählten Themen der Vorlesungen Grundlagen der Elektrotechnik 1 und 2, Messtechnik und Physik unter Einsatz unterschiedlicher Messmittel und Bauelemente aufzubauen",K,3,0.90,test
Elektrotechnik und Informationstechnik (B.Sc.),ET1588,Xperience Lab 1,2,das Vorlesungswissen aus Grundlagen der Elektrotechnik 1 und 2 und Physik in praktischen Versuchen anzuwenden,K,3,0.95,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1588,Xperience Lab 1,3,Messergebnisse zu dokumentieren und zu bewerten,K,5,0.85,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1588,Xperience Lab 1,4,Fehlerschranken zu ermitteln,K,3,0.85,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1588,Xperience Lab 1,5,Im Team zu arbeiten,K,3,0.75,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1049,Objektorientierte Programmierung,1,eine objektorientierte Programmiersprache und die Grundelemente der objektorientierten Modellierung unter Verwendung der UML zu nutzen,K,3,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1049,Objektorientierte Programmierung,2,abstrakte Datentypen zu realisieren und zu verwenden,K,3,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,1,"die Methodik für das Anfertigen von wissenschaftlichen Arbeiten aus dem Bereich der Elektrotechnik und Informationstechnik, der Erneuerbaren Energien oder der Mechatronik (je nach Studiengang) anzuwenden.",K,3,0.90,test
Elektrotechnik und Informationstechnik (B.Sc.),ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,2,wissenschaftlicher Frage- und Problemstellungen zu formulieren,K,6,0.80,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,3,mit wissenschaftlichen Quellen zu arbeiten,K,3,0.80,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,4,selbstständig wissenschaftliche Arbeiten nach anerkannten Standards anzufertigen,K,6,0.80,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,5,Arbeitsergebnisse auf Englisch zu präsentieren,K,3,0.80,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1019,Einführung in die BWL – Einführung in das Recht,1,Die Teilnehmenden sind in der Lage rechtliche und betriebswirtschaftliche Rahmenbedingungen ingenieurswissenschaftlicher Tätigkeiten zu erläutern.,K,2,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1602,Mathematik 3,1,die Grundlagen der harmonischen Analysis zu erklären,K,2,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1602,Mathematik 3,2,die Analogien und Unterschiede zwischen ein- und mehrdimensionaler Analysis wiederzugeben und zu erklären,K,2,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1602,Mathematik 3,3,Aufgaben mit Hilfe erlernter Methoden selbständig zu bearbeiten,K,3,0.80,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1602,Mathematik 3,4,Methoden der Numerik anhand ausgewählter Themen anzuwenden,K,3,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1602,Mathematik 3,5,Computer-Programme für numerische Rechnungen einzusetzen,K,3,0.90,test
Elektrotechnik und Informationstechnik (B.Sc.),ET1602,Mathematik 3,6,Simulationen durch Entwicklung eines komplexen Modells anzuwenden,K,6,0.70,test
Elektrotechnik und Informationstechnik (B.Sc.),ET1014,Grundlagen der Elektrotechnik 3 –,1,"die physikalischen Phänomene, auf denen die Elektrotechnik aufbaut, wiederzugeben und zu erläutern",K,2,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1014,Grundlagen der Elektrotechnik 3 –,2,die oben genannten Phänomene mit mathematischen Methoden zu beschreiben,K,2,0.85,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1014,Grundlagen der Elektrotechnik 3 –,3,einfache Problemstellungen aus diesem Themenkreis mit angemessenen Lösungsansätzen selbständig zu bearbeiten,K,3,0.80,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1013,Energietechnik,1,einen Überblick über die Aufgaben der modernen Energietechnik und ihren technischen Lösungen zu geben,K,2,0.80,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1013,Energietechnik,2,wichtige Grundbegriffe der Energietechnik wiederzugeben und diese anhand einfacher Skizzen und Berechnungen zu erläutern,K,2,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1013,Energietechnik,3,die historische Entwicklung der Teilgebiete der Energietechnik und ihres Zusammenhangs mit allgemeinen gesellschaftlichen Fortschritten wiederzugeben,K,1,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1013,Energietechnik,4,"Erzeugung, Übertragung und Verbrauch elektrischer Energie zu erklären und die hierfür notwendigen Betriebsmittel zu nennen",K,2,0.85,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1013,Energietechnik,5,selbständig ergänzende Fachliteratur auszuwählen und zu nutzen,K,5,0.70,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1015,Elektronik,1,die wichtigsten aktiven Bauelemente und deren Modelle zu erklären,K,2,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1015,Elektronik,2,"mit realen, d.h. frequenzabhängigen, nichtlinearen, temperaturabhängigen und alternden Bauelementen stabile Schaltungen mit vorgegebenen Eigenschaften zu entwerfen",K,6,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1015,Elektronik,3,die Problematik der Anwendung vereinfachter Modelle auf reale Sachverhalte darzulegen,K,2,0.75,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1016,Einführung in die Messtechnik und Systemtheorie,1,"die theoretischen sowie praktischen Grundlagen des Messens wiederzugeben, zu erläutern und anzuwenden",K,3,0.85,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1016,Einführung in die Messtechnik und Systemtheorie,2,"die wesentlichen Grundlagen auf dem Gebiet des Messens physikalischer Größen zu wiederholen und Probleme bei der Vorbereitung, Durchführung und Auswertung von Messungen selbständig zu lösen",K,3,0.85,test
Elektrotechnik und Informationstechnik (B.Sc.),ET1016,Einführung in die Messtechnik und Systemtheorie,3,in den begleitenden Übungen das erlernte theoretische Wissen auf realitätsnahe Beispiele anzuwenden,K,3,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1047,Wahrscheinlichkeitsrechnung und Statistik,1,Die Teilnehmenden,S,,0.90,test
Elektrotechnik und Informationstechnik (B.Sc.),ET1047,Wahrscheinlichkeitsrechnung und Statistik,2,lernen das Denken in Wahrscheinlichkeiten und sind sich der zugrundeliegenden Annahmen und der Gefahr von Irrtümern bewusst,K,5,0.60,test
Elektrotechnik und Informationstechnik (B.Sc.),ET1047,Wahrscheinlichkeitsrechnung und Statistik,3,lernen die wichtigsten Begriffe der elementaren Wahrscheinlichkeitsrechnung und Statistik kennen,K,1,0.90,test
Elektrotechnik und Informationstechnik (B.Sc.),ET1047,Wahrscheinlichkeitsrechnung und Statistik,4,können Aufgaben zu den erlernten Methoden selbständig bearbeiten,K,3,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1047,Wahrscheinlichkeitsrechnung und Statistik,5,"lernen, zu einem gegebenen Problem ein zutreffendes wahrscheinlichkeitstheoretisches Modell zu finden",K,3,0.70,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1047,Wahrscheinlichkeitsrechnung und Statistik,6,"lernen, statistisch begründete Aussagen kritisch zu werten",K,5,0.90,train
Elektrotechnik und Informationstechnik (B.Sc.),ET1596,Xperience Lab 2,1,"Versuchsanordnungen zu ausgewählten Themen der Vorlesungen Grundlagen der Elektrotechnik 3, Elektronik, Messtechnik und Regelungstechnik unter Einsatz unterschiedlicher Messmittel und Bauelemente aufzubauen",K,3,0.90,train
