nr,hochschule,modulname,satz,val_typ,val_taxonomie,val_qualitaet,val_kommentar
164,Hochschule Fulda,Food Technology I,Dadurch können sie aufkommende Innovationen verstehen.,,,,
165,Hochschule Fulda,Food Law,Die Studierenden lernen durch die vielfältigen Themenstellungen im Lebensmittelrecht fachübergreifend zu argumentieren.,,,,
166,Hochschule Fulda,Quality Management (FT),Die Studierenden können Einsatzmöglichkeiten und Reichweite von Eigenkontrollsystemen und Q-Zertifikaten beurteilen und umsetzen,,,,
167,Hochschule Fulda,Applied Microbiology and Industrial Hygiene,Die Studierenden kennen wichtige mikrobielle Produktionsorganismen,,,,
168,Hochschule Fulda,Fundamentals of Computer Science,Die Studierenden können elementare Algorithmen erklären und für einfache Probleme selbst entwickeln.,,,,
169,Hochschule Fulda,Molekularbiologie und Gentechnik,Die Studierenden kennen klassische und moderne Methoden der Gentechnik und können sie praktisch anwenden.,,,,
170,TH Mittelhessen,Mathematik 2,"Die Studierenden können auch kompliziertere Aspekte ingenieurtechnischer Sachverhalte mathematisch formulieren und sind in der Lage, die mathematischen Grundlagen weitergehender ingenieurtechnischer Fachdisziplinen zu verstehen.",,,,
171,TH Mittelhessen,Technische Thermodynamik,Die Studierenden können den eigenen Leistungsstand auf dem Gebiet der technischen Thermodynamik beurteilen,,,,
172,TH Mittelhessen,Maschinenelemente 3,"Maschinensystemen zur mechanischen Antriebstechnik gestalten anhand eines Konstruktionsprojektes Getriebe entwerfen und gestalten. auf Basis von Freiformflächenmodellierungen, Parameterkurven und programmierbarer Parameterbeziehungen komplexe geometrische Modellierungen erstellen Methodenkompetenzen (fachlich & überfachlich)",,,,
173,TH Mittelhessen,Elektrotechnik Labor,Fragestellungen der Elektrotechnik in Gruppen diskutieren,,,,
174,TH Mittelhessen,Methoden des wissenschaftlichen Arbeitens,Aufgaben der Wissenschaften und Wissenschaftsvokabular,,,,
175,TH Mittelhessen,Methoden des wissenschaftlichen Arbeitens,erlernen die Umsetzung von Aufgaben mit Präzision und Detailtreue,,,,
176,TH Mittelhessen,Bachelor-Kolloquium,Das Thema und das Ergebnis der Bachelorarbeit sachlich richtig darstellen,,,,
177,TH Mittelhessen,Verbrennungsmotoren 1,Die Studierenden können die Vereinfachungen zu realen Prozessführungen anwenden und so die Aussagen von Vergleichsprozessen auf reale VM übertragen,,,,
178,TH Mittelhessen,Verbrennungsmotoren 2,Die Studierenden können ihren Lernfortschritt reflektieren und ihr Lernverhalten ggf. (methodisch/zeitlich) anpassen,,,,
179,TH Mittelhessen,Energie- und Strömungstechnik Labor /,Die Studierenden können die wesentlichen Regeln zur wissenschaftlichen Dokumentation von Versuchsdurchführungen und Ergebnisdarstellungen selbstständig anwenden,,,,
180,TH Mittelhessen,Energie- und Strömungstechnik Labor /,Die Studierenden können ihren Lernfortschritt reflektieren und ihr Lernverhalten ggf. (methodisch/zeitlich) anpassen,,,,
181,TH Mittelhessen,Mechatronische Systeme,Die Studierenden können die Integration von Sensoren und Aktoren in unterschiedliche Systeme sowie deren angepasste Auslegung und Regelung durchführen Sozialkompetenzen keine,,,,
182,TH Mittelhessen,Qualitätsmanagement,Die Studierenden können die Bedeutung der Qualität im produzierenden und dienstleistenden Gewerbe sowie in den Branchenvarianten erkennen die Entstehung und Entwicklung von Verfahren zur Qualitätsverbesserung verstehen die im Rahmen des Qualitätsmanagements angewandten Normen erläutern und verstehen die Auswirkungen auf betriebliche Abläufe Methodenkompetenzen (fachlich & überfachlich),,,,
183,TH Mittelhessen,Steuerungstechnik im Automobilbau /,Die Studierenden können die prinzipielle Vorgehensweise und die Techniken zum Lösen von ingenieurmäßigen Aufgaben im Bereich der automobilen Steuerungstechnik anwenden,,,,
184,TH Mittelhessen,Verbundwerkstoffe,"Die Studierenden beherrschen Studierenden erhalten dazu zunächst einen Überblick über exemplarische Faser-, Schicht-, Teilchen- und Durchdringungs-Verbundwerkstoffe sowie deren Herstellungsverfahren, Eigenschaften und Anwendungen Grundlagen des Rechts, der Normauslegung und der Rechtsanwendung",,,,
185,TH Mittelhessen,Oberflächentechnik,Korrosionsschutz-Maßnahmen definieren und anwenden eine prozess- und anwendungsbezogene Auswahl von Beschichtungen im Hinblick auf Korrosionsund Verschleißschutz treffen,,,,
186,TH Mittelhessen,Mathematik 1,"nehmen aktiv am Lernen teil,",,,,
187,TH Mittelhessen,Mathematik 1,"Die Studierenden können eigene Wissenslücken erkennen und schließen,",,,,
188,TH Mittelhessen,Physik und Labor,"nehmen aktiv am Lernen teil,",,,,
189,TH Mittelhessen,Physik und Labor,"Die Studierenden können eigene Wissenslücken erkennen und schließen,",,,,
190,TH Mittelhessen,Physik und Labor,ihren Lernfortschritt reflektieren. 1012-2 Labor (2 CrP):,,,,
191,TH Mittelhessen,Wissenschaftliches Arbeiten und Methodenlehre,erstellen und präsentieren eigene wissenschaftliche Forschungsarbeiten.,,,,
192,TH Mittelhessen,Statistik,"grundlegende induktive statistische Methoden auswählen und anwenden,",,,,
193,TH Mittelhessen,Marketing,"Die Studierenden können sich in Gruppenarbeiten themenspezifisch mit ihren Kommilitonen auseinandersetzen und zielführend diskutieren,",,,,
194,TH Mittelhessen,"Einführung ins Controlling, Investition und Finanzierung /",Die Studierenden können ihre eigenen Schwächen und Stärken reflektieren und die eigene Entwicklung planen.,,,,
195,TH Mittelhessen,Lebenszyklusorientiertes Produktionsmanagement /,aktuelle Trends im Produktionsmanagement benennen.,,,,
196,TH Mittelhessen,Projekt- und Prozessmanagement – Grundlagen,"können grundlegende Methoden auf Projekte zur Geschäftsprozessgestaltung anwenden und setzen dabei geeignete Methoden (z.B. Ereignisgesteuerte Prozessketten, EPK) zur Bearbeitung ihrer fachlichen Aufgabe ein.",,,,
197,TH Mittelhessen,Personalmanagement und Organisation,"verstehen die Bedeutung des Personalmanagements in einem Unternehmen,",,,,
198,TH Mittelhessen,Technisches Englisch,geben anhand von Kriterien anderen Studierenden Feedback zu ihrer Sprachproduktion.,,,,
199,TH Mittelhessen,Wirtschaftsenglisch,"entwickeln in Gruppen kooperativ und effektiv Lösungen für Problemstellungen,",,,,
200,TH Mittelhessen,Wirtschaftsenglisch,geben anhand von Kriterien anderen Studierenden Feedback zu ihrer Sprachproduktion.,,,,
201,TH Mittelhessen,Einführung in die chinesische Sprache und Kultur (A1) /,Sie verstehen die Hauptaussagen von komplexen Vorlesungen/Reden/Berichten mit akademischem oder beruflichem Bezug.,,,,
202,TH Mittelhessen,Einführung in die chinesische Sprache und Kultur (A1) /,"Die Studierenden entnehmen schriftlichen Quellen des eigenen Fachgebiets Informationen, Gedanken und Meinungen.",,,,
203,TH Mittelhessen,Fachsprachkurs Deutsch für Studium und Beruf (ab C1),Der Kurs richtet sich an ausländische Studierende deutschsprachiger Studiengänge aller Fachbereiche.,,,,
204,TH Mittelhessen,Kolloquium zur Bachelorarbeit,"Die Studierenden können ihre Ergebnisse in angemessener, medial unterstützter und wissenschaftlich fundierter Form zu präsentieren.",,,,
205,TH Mittelhessen,Materialwissenschaften,"Die Studierenden können anwendungsbezogen Werkstoffe auswählen,",,,,
206,TH Mittelhessen,Technische Mechanik 1 (TM1),auf verschiedene Arten und Weisen z.B. zeichnerisch oder mit verschiedenen Methoden analytisch statische Probleme lösen.,,,,
207,TH Mittelhessen,Technische Mechanik 2 (TM2),"Berechnungen innerhalb bestimmter Beanspruchungsformen anstellen,",,,,
208,TH Mittelhessen,Technische Mechanik 2 (TM2),"Die Studierenden können das Erlernte wiedergeben, so dass Sie im späteren Berufsleben die angewendeten Methoden auch erklären können,",,,,
209,TH Mittelhessen,Elektrotechnik,"vertiefen in Gruppenübungen das Arbeiten im Team mit den zugehörigen Kommunikationsprozessen,",,,,
210,TH Mittelhessen,Technische Thermodynamik,simulieren technische Vorgänge durch Anwendung der Beziehungen und Methoden der Thermodynamik.,,,,
211,TH Mittelhessen,Einführung in die Elektrotechnik 1,"Die Studierenden können eigene Wissenslücken erkennen und schließen,",,,,
212,TH Mittelhessen,Informatik 2,"verwenden verkettete Listen zur Speicherung von Daten, typedef und enum,",,,,
213,TH Mittelhessen,Elektrotechnik Labor,"können die zugehörigen Mess- und Analysemethoden anwenden,",,,,
214,TH Mittelhessen,Life Cycle Management 1,"Die Vor- und Nachbereitung des Vorlesungsstoffes sowie das Bearbeiten von Übungen sind dabei Teile des Selbststudiums der eigenständig gestaltet werden kann,",,,,
215,TH Mittelhessen,Technische Mechanik 2 (TM2),"Die Studierenden können mittels verschiedener Methoden mögliche Versagensursachen von Bauteilen kritisch hinterfragen und deuten,",,,,
216,TH Mittelhessen,Life Cycle Management 2,ihren Lernprozess eigenständig planen und umsetzen.,,,,
217,TH Mittelhessen,Corporate Social Responsibility,"Methoden zur Analyse und Bewertung von CSR- und Nachhaltigkeitsberichten darstellen, auf konkrete Praxisfälle anwenden und die Ergebnisse kritisch reflektieren.",,,,
218,TH Mittelhessen,Fabikplanung,"Arbeitsplätze auf Ergonomie untersuchen,",,,,
219,TH Mittelhessen,Werkzeugmaschinen inkl. Labor,"unterscheiden die wesentlichen Verfahren zur Ermittlung der Herstell- und Arbeitsgenauigkeit,",,,,
220,TH Mittelhessen,Werkzeugmaschinen inkl. Labor,"Laborpraktika an Werkzeugmaschinen bzw. Komponenten unter Anleitung durchführen,",,,,
221,TH Mittelhessen,"Mess-, Steuer- Regeltechnik","Die Studierenden können regelungstechnische Aufgaben mit Hilfe von Software simulieren,",,,,
222,TH Mittelhessen,"Mess-, Steuer- Regeltechnik",DDC-Systemen zum Einsatz in der Gebäudetechnik und Industrie aufbauen und programmieren.,,,,
223,TH Mittelhessen,Energietechnik,berechnen das Zustandsverhalten von feuchter Luft z.B. in den Komponenten von Klimaanlagen.,,,,
224,TH Mittelhessen,Maschinendesign,"in einer Gruppe kooperativ arbeiten und ihre eigenen Standpunkte argumentativ zu verteidigen,",,,,
225,TH Mittelhessen,Innovative Fertigungsprozesse,"sollen dabei die Fähigkeit erlangen, die Möglichkeiten neuer Strategien in der Produktion einzuschätzen und umzusetzen,",,,,
226,TH Mittelhessen,Innovative Fertigungsprozesse,Die Studierenden können innovative Verfahren finden und für ihr Unternehmen gewinnbringend einsetzen.,,,,
227,TH Mittelhessen,1281-2,"Aufbau und Funktionsweise elektrischer Standardmaschinen darstellen,",,,,
228,TH Mittelhessen,Grundlagen der Elektroinstallationstechnik,"technischer Richtlinien verstehen und planen,",,,,
229,TH Mittelhessen,Grundlagen der Elektroinstallationstechnik,kennen die relevanten Richtlinien für eine Elektroinstallation.,,,,
230,TH Mittelhessen,Elektropneumatik in der Automatisierungstechnik,"können automatisierte Prozesse energieeffizient gestalten,",,,,
231,TH Mittelhessen,Rechnernetzwerktechnik Grundlagen,"Einfacvhe LAN-Topologien mit Routern und Switchern aufbauen und grundlegend konfigurieren,",,,,
232,TH Mittelhessen,Nachhaltiges Wertschöpfungskettenmanagement,"die Strategien auf die taktische und operative Ebene der Supply Chain übersetzen,",,,,
233,TH Mittelhessen,Nachhaltiges Wertschöpfungskettenmanagement,"die Anwendung der vermittelten Methoden und Konzepte auf ausgewählte Fallbeispiele transferieren,",,,,
234,TH Mittelhessen,XLab – Lernfabrik,andere für eine eigene Sache mobilisieren und die Interessen der Gemeinschaft wahren.,,,,
235,TH Mittelhessen,Nachhaltiges Ressourcenmanagement /,"die Relevanz und wichtige Anwendungsfelder von Ressourcenmanagement für Organisationen (inkl. Unternehmen) erkennen,",,,,
236,TH Mittelhessen,Nachhaltiges Ressourcenmanagement /,"Maßnahmen zur Einsparung von Ressourcen und Ressourceneffizienzsteigerung planen,",,,,
237,TH Mittelhessen,Nachhaltiges Ressourcenmanagement /,"Methoden und Konzepte des nachhaltigen Ressourcenmanagements praxisorientiert anwenden,",,,,
238,TH Mittelhessen,Produktinnovation,"Methoden, um in den einzelnen Phasen zielgerichtete Entscheidungen vorbereiten zu können,",,,,
239,TH Mittelhessen,Produktinnovation,"auf Kritik reagieren und diese positiv nutzen, um zukünftig noch bessere Entscheidungen treffen zu können,",,,,
240,TH Mittelhessen,Logistische Spezialprobleme,"Transport- und Zuordnungsprobleme, Lagerhaltungsmodelle sowie die Methoden der Routen- und Tourenplanung in die logistischen Kernfunktionen und das Operations Research einordnen,",,,,
241,TH Mittelhessen,Logistische Spezialprobleme,Die Studierenden können die Anwendung der vermittelten Methoden an eigens ausgewählten Beispielen demonstrieren.,,,,
242,TH Mittelhessen,Anwendungsbezogenes Operations Research,"spieltheoretische Konzepte erklären, vergleichen und beurteilen,",,,,
243,TH Mittelhessen,Elektrotechnik,"Die Studierenden können das Verhalten grundlegender Bauteile und Verfahren der Elektrotechnik erklären,",,,,
244,TH Mittelhessen,Informatik,ihren Lernfortschritt reflektieren.,,,,
245,TH Mittelhessen,Energietechnik,"in Gruppen kooperativ und effektiv Lösungen für Problemstellungen entwickeln,",,,,
246,TH Mittelhessen,Energietechnik,"ihre persönlichen Ressourcen reflektieren und Ziele für die eigene Entwicklung definieren,",,,,
247,Universität Kassel,Erziehungswissenschaftliche und psychologische Grundlagen der,"Die Studierenden kennen Geschichte, Begriffe und Ansätze pädagogischen Denkens und ihre Relevanz in unterschiedlichen Handlungsfeldern.",,,,
248,Universität Kassel,Empirische Zugänge zu Praxisfeldern der Sozialen Arbeit I,Die Studierenden verfügen über Kenntnisse in einer breiten Spanne unterschiedlicher empirischer Forschungsansätze und den dazugehörenden qualitativen sowie quantitativen Forschungsmethoden und -methodologien.,,,,
249,Universität Kassel,"Professionalität, Handlungskonzepte und -methoden der Sozialen Arbeit II: Vertiefung der Grundlagen",Auf Modul 7.1 aufbauend haben die Studierenden in den unterschiedlichen Seminaren breite handlungsmethodische Grundlagen über diverse Kontexte und Settings der Sozialen Arbeit erworben.,,,,
250,Universität Kassel,Arbeitsfelder der Sozialen Arbeit,Option A: Schwerpunkt „Konzeptionelle Grundlagen sozialer Interventionen“ in den Feldern Sozialer Arbeit,,,,
251,Universität Kassel,Berufspraktische Studien,orientieren sich am Qualifikationsrahmen Soziale Arbeit des Fachbereichstages und an den Qualifikationszielen der Bundesarbeitsgemeinschaft der Praxisämter /-referate an Hochschulen für Soziale Arbeit in der Bundesrepublik Deutschland (BAG).,,,,
252,TU Darmstadt,"Automaten, formale Sprachen und Entscheidbarkeit","Die Studierenden lernen elementare Techniken und Methoden der diskreten Mathematik im Umfeld von formalen Sprachen und Automaten kennen und anzuwenden; sie lernen, endliche Automaten als Beispiel eines fundamentalen Berechnungsmodells operational und semantisch zu interpretieren und zu analysieren.",,,,
253,TU Darmstadt,"Automaten, formale Sprachen und Entscheidbarkeit","Sie verfügen über die notwendigen Grundkenntnisse, Grammatiken und formale Sprachen im Rahmen der Chomsky-Hierarchie und zugehöriger Berechnungsmodelle einzuordnen und zu analysieren.",,,,
254,TU Darmstadt,Formale Methoden im Softwareentwurf,Modellprüfung gegen in temporaler Aussagenlogik spezifierte Eigenschaften 2.,,,,
255,TU Darmstadt,Foundations of Language Technology,deren Möglichkeiten und Grenzen kritisch beurteilen.,,,,
256,TU Darmstadt,Lernende Roboter,"Sie können maschinelle Lernverfahren anwenden um einen Roboter zu befähigen, neue Aufgaben zu erlernen.",,,,
257,TU Darmstadt,Tiefe Generative Modelle,wissenschaftliche Veröffentlichungen zum Thema DGMs kritisch hinterfragen und damit fachlich beurteilen,,,,
258,TU Darmstadt,Ethik in Natürlicher Sprachverarbeitung,"Nachdem Studierende die Veranstaltung abgeschlossen haben, können sie",,,,
259,TU Darmstadt,Bioinformatik (Vorlesung und Übung),"Die Studenten erwerben Grundlagenwissen in der sequenz-basierten Bioinformatik (Sequence Alignment, Scoring Schemes, Datenbanken, Pattern Recognition) und der Strukturmodellierung und Simulation (Structure Prediction, Molecular Dynamics).",,,,
260,TU Darmstadt,Public Key Infrastrukturen,"die Grundlagen von Public Key Infrastrukturen, insbesondere die verschiedenen Komponenten (bspw. private Schlüssel, Zertifikate, Policies), Akteure (bspw.",,,,
261,TU Darmstadt,Einführung in die Kryptographie,"Verstehen der mathematischen Grundlagen der Kryptographie wie z.B. Berechnungen in Kongruenz- und Restklassenringen, Faktorisierung großer Zahlen, Wahrscheinlichkeit und Perfekte Sicherheit",,,,
262,TU Darmstadt,Einführung in die Kryptographie,Verstehen der Prinzipien von Public und Secret-Key-Verschlüsselung und der relevanten Verfahren einschließlich ihrer Sicherheit und Effizienz,,,,
263,TU Darmstadt,Sicherheit in Multimedia Systemen und Anwendungen,"Dazu gehören die Konzepte der Medien-Integrität, -Vertraulichkeit und -Authentizität.",,,,
264,TU Darmstadt,Physical Layer Security in Drahtlosen Systemen,Sie können sich aktuelle Arbeiten zum Stand der Forschung zu Physical Layer Security selbstständig aneignen und das erarbeitete Wissen verständlich vermitteln.,,,,
265,TU Darmstadt,Advanced Data Management Systems,Die Studierenden können Vor- und Nachteile dieser Techniken mit dem Fokus auf möglichen Verbesserungen diskutieren.,,,,
266,TU Darmstadt,Advanced Data Management Systems,Sie können einzelne Techniken implementieren und experimentelle Evaluierungen dieser Techniken zum Vergleich von Designalternativen durchführen.,,,,
267,TU Darmstadt,Graphische Datenverarbeitung II,"Dazu gehören mathematisch polynomiale Repräsentationen, Iso-oberflächen, volumen Darstellungen, implizite Oberflächen, Polygonnetze, Subdivision-Kontrollnetze und Punktwolken.",,,,
268,TU Darmstadt,Programmierung Massiv-Paralleler Prozessoren,Sie können selbständig neue Anwendungen entwickeln und ihre Performanz systematisch verbessern.,,,,
269,TU Darmstadt,TK2: Human Computer Interaction,Evaluationstechniken kennen gelernt und angewandt,,,,
270,TU Darmstadt,Effiziente Graphenalgorithmen,"beherrschen sie Methoden, um spezielle Eigenschaften (Planarität, Dünnbesetztheit) auszunutzen",,,,
271,TU Darmstadt,Statische und dynamische Programmanalyse,Sie können Programmanalysen bezüglich ihrer Präzision und Korrektheit beurteilen.,,,,
272,TU Darmstadt,Einführung in das Quantencomputing,Nach Abschluss des Kurses sind die Studierenden mit allen grundlegenden Konzepten der Quanteninformationsverarbeitung und -berechnung vertraut und können diese mit der Quantenprogrammiersprache Qiskit programmieren.,,,,
273,TU Darmstadt,Fortgeschrittenes Praktikum Visual Computing,"Nach dem erfolgreichen Abschluss des Praktikums sind die Studierenden dazu in der Lage, selbständig ein fortgeschrittenes Problem aus dem Bereich des Visual Computings zu analysieren, zu lösen und die Ergebnisse zu bewerten.",,,,
274,TU Darmstadt,Advanced User Interfaces,"Studierende haben einen Einblick in die Prinzipien und Methoden zum Entwurf und zur Entwicklung multimedialer, kollaborativer und adaptiver Benutzungsschnittstellen anhand einer praktischen Anwendung unter Berücksichtigung verschiedener Kontextbedingungen bekommen.",,,,
275,TU Darmstadt,Praktikum System and IoT Security,Außerdem erwerben sie generelle Erfahrung in Systemprogrammierung.,,,,
276,TU Darmstadt,Projektpraktikum Programmierung Massiv Paralleler Systeme,"Hierzu können sie aktuelle Techniken analysieren, modifizieren und anwenden.",,,,
277,TU Darmstadt,Praktikum: Formale Spezifikation und Verifikation in Isabelle/HOL,Sie können in Isabelle/HOL sowohl eigenständig als auch im Team formale Modelle von Systemen und Eigenschaften konstruieren und Aussagen beweisen.,,,,
278,TU Darmstadt,Softwareprojekt Datenanalyse für natürliche Sprache,"Nachdem Studierende die Veranstaltung besucht haben, können sie",,,,
279,TU Darmstadt,1.1.3. Hardware-Entwurf für die Videoverarbeitung,Sie können die entstehenden Systeme evaluieren und aus den beobachteten Charakteristika Rückschlüsse für die weitere Entwicklung ziehen.,,,,
280,TU Darmstadt,Distributed Systems Programming: Praktikum,"Je nach ausgewähltem Thema erlernen Studierende folgende Kompetenzen: Entwurf komplexer DS Methodische Analyse und Auswertung von:  Modellen      Experimenten Software Entwurf von Programmiersprachen Schreiben von technischen Dokumenten oder Projektberichten Erstellen und vortragen eines Abschlussvortrages Voraussetzung für die Teilnahme Empfohlen: Interesse am Erarbeiten von Lösungsvorschlägen für herausfordernde Probleme im Bereich DS, eigenverantwortliches Arbeiten und ein großes Interesse an aktuellen Forschungsthemen.",,,,
281,TU Darmstadt,Agile Software Engineering Projekt,"Training von ""Soft Skills""; insbesondere Teamarbeit und Präsentationsfähigkeiten",,,,
282,TU Darmstadt,Cybersecurity Lab,"Am Ende des Kurses werden die Studierenden gute Kenntnisse in Netzwerksicherheit, und speziell auf den Gebieten der durch sie bearbeitenden Projekte, erlangen.",,,,
283,TU Darmstadt,"Praktikum Friedens-, Sicherheits- und Kriseninformatik",Die Fähigkeit eine praktische Aufgabe ggf. im Team erfolgreich nach Vorgabe zu bearbeiten und deren Ergebnisse angemessen zu präsentieren.,,,,
284,TU Darmstadt,Projektpraktikum Friedens- und Kriseninformatik,Die Fähigkeit eine praktische Aufgabe ggf. im Team erfolgreich nach Vorgabe zu bearbeiten und deren Ergebnisse angemessen zu präsentieren.,,,,
285,TU Darmstadt,Projektpraktikum Friedens- und Kriseninformatik,Evaluation und Weiterentwicklung bestehender Anwendungen,,,,
286,TU Darmstadt,Projektpraktikum Algorithmik,"Die Studierenden können hierzu eigenständig ein Projekt definieren, verwalten und durchführen.",,,,
287,TU Darmstadt,Data Management - Praktikum,Nach Beendigung der Veranstaltung haben Studierende folgende Lernziele erreicht:,,,,
288,TU Darmstadt,Praktikum Security Engineering,Ziel dieses Praktikums ist die Ausweitung von Programmierkentnissen sowie die Partizipation in Forschungsprojekten.,,,,
289,TU Darmstadt,Praktikum Seitenkanalanalyse,"das Ausmaß der Gefahr durch Seitenkanalschwachstellen einschätzen können,",,,,
290,TU Darmstadt,Praktikum Seitenkanalanalyse,"fähig sein, Seitenkanalangriffe gegen kryptographische Implementierungen auszuführen, um geheime Informationen zu extrahieren und",,,,
291,TU Darmstadt,Forschungsmethodik in der Kryptographie,Verfassen von wissenschaftlichen Arbeiten in der Kryptographie,,,,
292,TU Darmstadt,Algorithmen zum Graphendesign,können sie ästhetischer Fragestellungen als Probleme algorithmischer Natur modellieren,,,,
293,TU Darmstadt,Grundlagen der Computersicherheit,Nach erfolgreicher Teilnahme an diesem Seminar werden die Studierenden fähig sein aktuelle Entwicklungen in den Grundlagen der Computersicherheit mit Bezug zu formalen Methoden zu diskutieren.,,,,
294,TU Darmstadt,Seitenkanalresistente Kryptographie,Sicherheitsmodelle in der Leakage Resilient Kryptographie und formale Sicherheitsanalysen von Gegenmaßnahmen für Seitenkanalangriffe,,,,
295,TU Darmstadt,Aktuelle Themen aus dem Bereich Concurrency Theory,Nach erfolgreicher Teilnahme haben Studierende eine Vorstellung von den aktuell bearbeiteten Themen im Bereich Concurrency Theory.,,,,
296,TU Darmstadt,Humanoide Robotik,Am Ende dieses Kurses verstehen die Studierenden aktuelle Forschungsthemen der humanoiden Robotik und können:,,,,
297,TU Darmstadt,Humanoide Robotik,sich anhand von wissenschaftlichen Publikationen selbstständig in ein Themengebiet einarbeiten und,,,,
298,TU Darmstadt,Praktikum in der Lehre - Software Engineering,"Nachdem Studierende die Veranstaltung besucht haben, können Sie",,,,
299,TU Darmstadt,Praktikum in der Lehre - Einführung in die Kryptographie,Lehrinhalte in Übungen zu präsentieren und zu erklären,,,,
300,TU Darmstadt,Praktikum in der Lehre - Technische Informatik,"Sie können Studierende in direktem persönlichen Kontakt, aber auch über elektronische Kommunikationsmedien anleiten und betreuen.",,,,
